pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEUP100257,7,0,1977,JAGESHWAR,,Uttar_Pradesh,KISHUNPUR,SC,JNP,,15864,M,1,3,FALSE,FALSE,47.11,2737,8.13,,,1,3
AEUP100257,8,0,1980,JAGESHAR,,Uttar_Pradesh,KISHUNPUR,SC,IND,JNP,3968,M,3,3,FALSE,TRUE,10.11,1560,3.97,,,1,3
AEUP100257,14,0,2002,JAGESHWAR,,Uttar_Pradesh,KISHUNPUR,SC,INC,IND,6929,M,5,3,FALSE,FALSE,6.38,3437,3.17,,,1,3
AEUP100294,14,0,2002,KAWAR PAL,,Uttar_Pradesh,BAGHRA,GEN,IND,,231,M,13,1,FALSE,FALSE,0.19,26,0.02,,,,1
AEUP100408,14,1,2004,HARPAL SINGH,,Uttar_Pradesh,BAGHRA,GEN,IND,,1546,,6,1,FALSE,FALSE,1.16,836,0.63,,,,1
AEUP100570,7,0,1977,AKBAR HUSAIN,,Uttar_Pradesh,KUNDARKI,GEN,JNP,,19655,M,1,6,FALSE,FALSE,41.08,10192,21.3,,,3,6
AEUP100570,8,0,1980,AKBAR HUSSAIN,,Uttar_Pradesh,KUNDARKI,GEN,JNP(SR),JNP,21247,M,1,6,TRUE,TRUE,32.62,4007,6.15,,,3,6
AEUP100570,9,0,1985,AKBAR HUSAIN,,Uttar_Pradesh,KUNDARKI,GEN,LKD,JNP(SR),25020,M,2,6,TRUE,TRUE,31.04,17518,21.74,,,3,6
AEUP100570,12,0,1993,AKBAR HUSSAIN,,Uttar_Pradesh,KUNDARKI,GEN,JD,LKD,49795,M,2,6,TRUE,FALSE,34.81,36929,25.82,,,3,6
AEUP100570,13,0,1996,AKBAR HUSAIN,,Uttar_Pradesh,KUNDARKI,GEN,BSP,JD,51888,M,1,6,TRUE,FALSE,33.14,200,0.13,,,3,6
AEUP100570,14,0,2002,AKBAR HUSAIN,,Uttar_Pradesh,KUNDERKI,GEN,INLD,BSP,16821,M,4,6,TRUE,TRUE,11.04,10586,6.95,,,3,6
AEUP100595,11,0,1991,GULAB DEVI,,Uttar_Pradesh,CHANDAUSI,SC,BJP,,29285,F,1,4,FALSE,FALSE,36.78,6256,7.86,,,3,4
AEUP100595,12,0,1993,GULAB DEVI,,Uttar_Pradesh,CHANDAUSI,SC,BJP,BJP,38459,F,2,4,FALSE,TRUE,39.2,31204,31.81,,,3,4
AEUP100595,13,0,1996,GULAB DEVI,,Uttar_Pradesh,CHANDAUSI,SC,BJP,BJP,61382,F,1,4,FALSE,FALSE,52.69,33259,28.55,,,3,4
AEUP100595,14,0,2002,GULAB DEVI,,Uttar_Pradesh,CHANDAUSI,SC,BJP,BJP,40288,F,1,4,FALSE,TRUE,34.09,700,0.59,,,3,4
AEUP100644,12,0,1993,SHIV BAHADUR SAXENA,,Uttar_Pradesh,SUARTANDA,GEN,BJP,,50845,M,1,3,FALSE,FALSE,31.52,12705,7.88,,,2,3
AEUP100644,13,0,1996,SHIV BAHADUR SAXENA,,Uttar_Pradesh,SUARTANDA,GEN,BJP,BJP,59477,M,1,3,FALSE,TRUE,31.52,7493,3.97,,,2,3
AEUP100644,14,0,2002,SHIV BAHADUR SAXENA,,Uttar_Pradesh,SUAR TANDA,GEN,BJP,BJP,56125,M,2,3,FALSE,TRUE,29.52,17187,9.04,,,2,3
AEUP100703,14,0,2002,SUBHASH,,Uttar_Pradesh,SIWALKHAS,SC,IND,,742,M,5,1,FALSE,FALSE,0.65,173,0.15,,,,1
AEUP100715,14,0,2002,RAISH AHMAD,,Uttar_Pradesh,TULSIPUR,GEN,IND,,711,M,13,1,FALSE,FALSE,0.52,1,0,,,,1
AEUP10072,6,0,1974,DEWAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,NCO,,27268,M,2,9,FALSE,FALSE,34.89,15144,19.38,,,6,9
AEUP10072,7,0,1977,DIWAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,JNP,NCO,46083,M,1,9,TRUE,FALSE,59.64,20147,26.07,,,6,9
AEUP10072,8,0,1980,DIWAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,JNP(SC),JNP,43751,M,1,9,TRUE,TRUE,51.73,12394,14.66,,,6,9
AEUP10072,9,0,1985,DIWAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,LKD,JNP(SC),44867,M,1,9,TRUE,TRUE,47.15,10554,11.09,,,6,9
AEUP10072,10,0,1989,DIWAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,JD,LKD,40765,M,1,9,TRUE,TRUE,38.27,13439,12.62,,,6,9
AEUP10072,11,0,1991,DIWAKER VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,JD,JD,28968,M,1,9,FALSE,TRUE,29.34,4729,4.79,,,6,9
AEUP10072,12,0,1993,DIWAKAR VIKARAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,JD,JD,25325,M,3,9,FALSE,TRUE,20.16,5857,4.66,,,6,9
AEUP10072,13,0,1996,DIWAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,INC,JD,46334,M,1,9,TRUE,FALSE,36.25,8453,6.61,,,6,9
AEUP10072,14,0,2002,DIVAKAR VIKRAM SINGH,,Uttar_Pradesh,KHESRAHA,GEN,BJP,INC,30261,M,2,9,TRUE,TRUE,21.91,3714,2.69,,,6,9
AEUP100723,14,0,2002,FAREED KHAN,,Uttar_Pradesh,RAMPUR,GEN,RTKP,,364,M,8,1,FALSE,FALSE,0.29,104,0.08,,,,1
AEUP100730,11,0,1991,BARKHU RAM,,Uttar_Pradesh,SAGRI,GEN,BSP,,25676,M,1,5,FALSE,FALSE,25.76,5785,5.8,,,3,4
AEUP100730,12,0,1993,BARKHU RAM VERMA,,Uttar_Pradesh,SAGRI,GEN,BSP,BSP,49893,M,1,5,FALSE,TRUE,43.27,30895,26.79,,,3,4
AEUP100730,13,0,1996,BARKHU RAM VERMA URF B.R. VERMA,,Uttar_Pradesh,SAGRI,GEN,BSP,BSP,35510,M,2,5,FALSE,TRUE,26.86,9608,7.27,,,3,4
AEUP100730,13,1,1998,Barkhu Ram Verma,,Uttar_Pradesh,MARIAHU,GEN,BSP,BSP,26499,M,1,5,FALSE,FALSE,29.01,275,0.3,,,3,4
AEUP100730,14,0,2002,BARKHU RAM VERMA,,Uttar_Pradesh,MARIAHU,GEN,IND,BSP,37788,M,2,5,FALSE,TRUE,27.52,11595,8.45,,,3,4
AEUP100742,13,1,1998,Krishna Pal Singh,,Uttar_Pradesh,CHAUBEPUR,GEN,BSP,,25513,M,1,2,FALSE,FALSE,35.35,2910,4.03,,,1,2
AEUP100742,14,0,2002,KRISHNA PAL SINGH,,Uttar_Pradesh,CHAUBEPUR,GEN,RTKP,BSP,14756,M,5,2,TRUE,TRUE,12.26,7362,6.11,,,1,2
AEUP100752,13,1,1998,Govind Agarwal,,Uttar_Pradesh,AGRAEAST,GEN,INC,,29814,M,2,2,FALSE,FALSE,33.26,9731,10.86,,,,2
AEUP100752,14,0,2002,GOVIND AGRAWAL,,Uttar_Pradesh,AGRA EAST,GEN,INC,INC,17766,M,2,2,FALSE,FALSE,22.38,4025,5.07,,,,2
AEUP100754,13,1,1998,Ravi Prakash Agrawal,,Uttar_Pradesh,AGRAEAST,GEN,SP,,4161,M,4,2,FALSE,FALSE,4.64,3963,4.42,,,,2
AEUP100754,14,0,2002,RAVI PRAKASH AGRAWAL,,Uttar_Pradesh,BAREILLY CITY,GEN,SP,SP,23976,M,2,2,FALSE,FALSE,25.7,3801,4.07,,,,2
AEUP100780,8,0,1980,SAHAB SINGH,,Uttar_Pradesh,BAGHPAT,GEN,IND,,188,M,9,6,FALSE,FALSE,0.3,0,0,,,1,6
AEUP100780,9,0,1985,SAHAB SINGH,,Uttar_Pradesh,BAGHPAT,GEN,LKD,IND,18465,M,2,6,FALSE,FALSE,18.69,9635,9.75,,,1,6
AEUP100780,10,0,1989,SAHAB SINGH,,Uttar_Pradesh,BAGHPAT,GEN,JD,LKD,66780,M,1,6,TRUE,FALSE,55.42,17689,14.68,,,1,6
AEUP100780,11,0,1991,SAHAB SINGH,,Uttar_Pradesh,BAGHPAT,GEN,IND,JD,17180,M,3,6,FALSE,TRUE,19.08,2349,2.61,,,1,6
AEUP100780,12,0,1993,SAHAB SINGH,,Uttar_Pradesh,BAGHPAT,GEN,JD,IND,36334,M,3,6,FALSE,FALSE,27.48,27696,20.94,,,1,6
AEUP100780,14,0,2002,SAHAB SINGH,,Uttar_Pradesh,BAGHPAT,GEN,BSP,JD,37800,M,2,6,TRUE,FALSE,31.87,21753,18.34,,,1,6
AEUP100795,14,0,2002,RAMPAL,,Uttar_Pradesh,SHAHABAD,SC,IND,,2374,M,6,1,FALSE,FALSE,1.63,756,0.52,,,,1
AEUP100800,11,0,1991,B. K. GUPTA,,Uttar_Pradesh,PILIBHIT,GEN,BJP,,47617,M,1,5,FALSE,FALSE,48.3,19978,20.26,,,3,4
AEUP100800,12,0,1993,B. K. GUPTA,,Uttar_Pradesh,PILIBHIT,GEN,BJP,BJP,45682,M,1,5,FALSE,TRUE,37.65,17871,14.73,,,3,4
AEUP100800,13,0,1996,B.K.GUPTA,,Uttar_Pradesh,PILIBHIT,GEN,IND,BJP,16355,M,5,5,FALSE,TRUE,13.11,15528,12.44,,,3,4
AEUP100800,13,1,2000,B.K. Gupta,,Uttar_Pradesh,PILIBHIT,GEN,BJP,IND,40203,M,1,5,FALSE,FALSE,33.71,14432,12.1,,,3,4
AEUP100800,14,0,2002,B.K. GUPTA,,Uttar_Pradesh,PILIBHIT,GEN,BJP,BJP,25729,M,2,5,FALSE,TRUE,20.92,7924,6.44,,,3,4
AEUP100801,13,0,1996,RAJ RAI SINGH,,Uttar_Pradesh,PILIBHIT,GEN,BJP,,37875,F,1,2,FALSE,FALSE,30.35,10606,8.5,,,1,2
AEUP100801,14,0,2002,RAJ RAI SINGH,,Uttar_Pradesh,PILIBHIT,GEN,INC,BJP,17805,F,3,2,TRUE,FALSE,14.48,4391,3.57,,,1,2
AEUP100816,13,1,2000,Rajendra Prasad Mishra,,Uttar_Pradesh,UNNAO,GEN,KMBP,,18621,M,3,2,FALSE,FALSE,15.88,10943,9.33,,,,2
AEUP100816,14,0,2002,RAM KUMAR ADVOCATE,,Uttar_Pradesh,UNNAO,GEN,SP,KMBP,26986,M,3,2,TRUE,FALSE,20.79,5173,3.99,,,,2
AEUP100855,14,0,2002,SHASHI PRABHA SHAKYA,,Uttar_Pradesh,SAKIT,GEN,BKD,,4661,F,5,1,FALSE,FALSE,4.71,2244,2.27,,,,1
AEUP100866,13,1,2000,Devendra Pratap,,Uttar_Pradesh,SORAN,GEN,RYKP,,22118,M,1,2,FALSE,FALSE,23.49,195,0.21,,,2,2
AEUP100866,14,0,2002,DEVENDRA PRATAP,,Uttar_Pradesh,SORON,GEN,RTKP,RYKP,32907,M,1,2,TRUE,TRUE,31.09,12214,11.54,,,2,2
AEUP100875,13,0,1996,MADAN CHAUHAN,,Uttar_Pradesh,GARHMUKTESHWAR,GEN,AIIC(T),,4378,M,4,2,FALSE,FALSE,3.36,2465,1.89,,,1,2
AEUP100875,14,0,2002,MADAN CHOUHAN,,Uttar_Pradesh,GARHMUKTESHWAR,GEN,SP,AIIC(T),43808,M,1,2,TRUE,FALSE,32.47,7444,5.52,,,1,2
AEUP100917,11,0,1991,VED RAM BHATI,,Uttar_Pradesh,SIKANDRABAD,GEN,BJP,,26630,M,3,2,FALSE,FALSE,26.48,26109,25.96,,,1,2
AEUP100917,14,0,2002,VED RAM BHATI,,Uttar_Pradesh,SIKANDRABAD,GEN,BSP,BJP,43723,M,1,2,TRUE,FALSE,31.85,7626,5.56,,,1,2
AEUP100930,13,1,2001,ARYA RAMSHARAN,,Uttar_Pradesh,SADABAD,GEN,RLD,,36147,M,1,2,FALSE,FALSE,30.41,11093,9.33,,,1,2
AEUP100930,14,0,2002,AARY RAMSHARAN,,Uttar_Pradesh,SADABAD,GEN,INLD,RLD,1915,M,5,2,TRUE,TRUE,1.62,1066,0.9,,,1,2
AEUP100932,14,0,2002,MOH ALIM KHAN,,Uttar_Pradesh,ANUPSHAHR,GEN,LJNSP,,5924,M,6,1,FALSE,FALSE,5.07,2564,2.19,,,,1
AEUP100946,13,1,2001,Sunder Lal Verma,,Uttar_Pradesh,SIWALKHAS(SC),SC,BSP,,38710,M,1,2,FALSE,FALSE,42.98,13516,15.01,,,1,2
AEUP100946,14,0,2002,SUNDER LAL VERMA,,Uttar_Pradesh,SIWALKHAS,SC,BSP,BSP,40473,M,2,2,FALSE,TRUE,35.36,17707,15.47,,,1,2
AEUP100953,14,0,2002,GANGA PRASAD,,Uttar_Pradesh,SIWALKHAS,SC,IND,,84,M,14,1,FALSE,FALSE,0.07,0,0,,,,1
AEUP100954,10,0,1989,HOSHIYAR,,Uttar_Pradesh,ANUPSHAHR,GEN,JD,,33172,M,1,4,FALSE,FALSE,35.73,13245,14.27,,,2,4
AEUP100954,11,0,1991,HOSHIYAR SINGH,,Uttar_Pradesh,ANUPSHAHR,GEN,JD,JD,15986,M,3,4,FALSE,TRUE,16.21,959,0.97,,,2,4
AEUP100954,12,0,1993,HOSHIYAR SINGH,,Uttar_Pradesh,ANUPSHAHR,GEN,JD,JD,30853,M,3,4,FALSE,FALSE,24.14,17016,13.32,,,2,4
AEUP100954,14,0,2002,HOSHIYAR SINGH,,Uttar_Pradesh,ANUPSHAHR,GEN,IND,JD,27644,M,1,4,FALSE,FALSE,23.64,993,0.85,,,2,4
AEUP100955,14,0,2002,DHARAM SINGH,,Uttar_Pradesh,SARSAWA,GEN,BSP,,53262,M,1,1,FALSE,FALSE,33.03,9554,5.92,,,1,1
AEUP100964,14,0,2002,KUNWAR BASANT SINGH  BUNTY,,Uttar_Pradesh,MORADABAD WEST,GEN,IND,,910,M,8,1,FALSE,FALSE,0.68,353,0.26,,,,1
AEUP100966,14,0,2002,NIRVENDRA KUMAR  MUNNA,,Uttar_Pradesh,NIGHASAN,GEN,SD,,19327,M,4,1,FALSE,FALSE,11.41,5474,3.23,,,,1
AEUP100967,14,0,2002,KRISHNA DUTTA SHUKLA ALIAS BHAGOLE BHAIYA,,Uttar_Pradesh,PURWA,GEN,BSP,,31615,M,3,1,FALSE,FALSE,22.78,20752,14.95,,,,1
AEUP100969,14,0,2002,VISHWANATH CHATURVEDI  MOHAN,,Uttar_Pradesh,HAIDERGARH,GEN,INC,,2378,M,5,1,FALSE,FALSE,1.76,1171,0.87,,,,1
AEUP100970,14,0,2002,JITENDRA KUMAR ALIAS NUNDU CHOUDHARY,,Uttar_Pradesh,BASTI,GEN,BJP,,32564,M,2,1,FALSE,FALSE,24.07,7868,5.82,,,,1
AEUP100972,14,0,2002,PREM CHAND (P.C. GUPTA)  YUVRAJ,,Uttar_Pradesh,VARANASI NORTH,GEN,NCP,,927,M,6,1,FALSE,FALSE,0.86,293,0.27,,,,1
AEUP100973,14,0,2002,IMTEYAJ AHMAD  HASMI,,Uttar_Pradesh,MARIAHU,GEN,MC,,549,M,12,1,FALSE,FALSE,0.4,1,0,,,,1
AEUP100977,14,0,2002,VIMAL KUMAR  JAIHIND,,Uttar_Pradesh,FATEHPUR,GEN,INC,,2351,M,7,1,FALSE,FALSE,1.56,1223,0.81,,,,1
AEUP100980,14,0,2002,VINOD KUMAR YADAV  KAKKA,,Uttar_Pradesh,BHARTHANA,GEN,INC,,53118,M,1,1,FALSE,FALSE,38.52,19760,14.33,,,1,1
AEUP100981,14,0,2002,SANJEEV KUMAR  TONI,,Uttar_Pradesh,BHARTHANA,GEN,IND,,1404,M,7,1,FALSE,FALSE,1.02,381,0.28,,,,1
AEUP100983,14,0,2002,BRIJENDRA KUMAR VYAS  DAMDAM MAHRAJ,,Uttar_Pradesh,GAROUTHA,GEN,BSP,,59724,M,1,1,FALSE,FALSE,38.09,13425,8.56,,,1,1
AEUP100984,14,0,2002,MANI BABU  AZAD  ADVOCATE,,Uttar_Pradesh,ORAI,GEN,IND,,1519,M,5,1,FALSE,FALSE,0.98,95,0.06,,,,1
AEUP100985,12,0,1993,BANSI SINGH,,Uttar_Pradesh,JEWAR,SC,INC,,19710,M,3,2,FALSE,FALSE,21.61,14333,15.71,,,,2
AEUP100985,14,0,2002,BANSHI SINGH,,Uttar_Pradesh,JEWAR,SC,INC,INC,28805,M,2,2,FALSE,FALSE,25.84,401,0.36,,,,2
AEUP100988,14,1,2002,NAND LAL SARAN,,Uttar_Pradesh,BAHERI,GEN,IND,,18177,,3,1,FALSE,FALSE,13.39,3401,2.51,,,,1
AEUP100990,14,1,2002,KHANJAN LAL,,Uttar_Pradesh,BAHERI,GEN,INL,,2790,,5,1,FALSE,FALSE,2.06,1133,0.83,,,,1
AEUP100992,14,0,2002,YOGENDRA NATH ALIAS MUNNU BABU,,Uttar_Pradesh,BAHERI,GEN,SD,,4750,M,7,2,FALSE,FALSE,2.94,1759,1.09,,,,1
AEUP100992,14,1,2002,YOGENDRA NATH ALIAS MUNNU BABU,,Uttar_Pradesh,BAHERI,GEN,AD,SD,1003,,7,2,TRUE,FALSE,0.74,419,0.31,,,,1
AEUP100994,12,0,1993,ANJUM RASHED,,Uttar_Pradesh,BAHERI,GEN,IND,,700,M,10,3,FALSE,FALSE,0.51,40,0.03,,,,3
AEUP100994,13,0,1996,ANJUM RASEED,,Uttar_Pradesh,BAHERI,GEN,IND,IND,343,M,8,3,FALSE,FALSE,0.2,138,0.08,,,,3
AEUP100994,14,1,2002,ANJUM RASEED,,Uttar_Pradesh,BAHERI,GEN,IND,IND,440,,9,3,FALSE,FALSE,0.32,6,0,,,,3
AEUP100996,14,1,2002,MANOJ KUMAR,,Uttar_Pradesh,BAHERI,GEN,IND,,383,,11,1,FALSE,FALSE,0.28,0,0,,,,1
AEUP100998,14,0,2002,BHIM PRASAD SONKAR,,Uttar_Pradesh,JAHANGIRGANJ,SC,SP,,44597,M,2,2,FALSE,FALSE,31.09,6572,4.58,,,,1
AEUP100998,14,1,2002,BHIM PRASAD SONKAR,,Uttar_Pradesh,JAHANGIRGANJ,SC,SP,SP,44924,M,2,2,FALSE,FALSE,40.88,36657,33.36,,,,1
AEUP101001,10,0,1989,DALVEER SINGH,,Uttar_Pradesh,BARAULI,GEN,IND,,20172,M,2,3,FALSE,FALSE,23.52,731,0.85,,,1,3
AEUP101001,11,0,1991,DALVIR SINGH,,Uttar_Pradesh,BARAULI,GEN,JD,IND,39523,M,1,3,FALSE,FALSE,46.14,16384,19.13,,,1,3
AEUP101001,14,0,2002,DALVIR SINGH,,Uttar_Pradesh,BARAULI,GEN,RLD,JD,41737,M,2,3,TRUE,FALSE,33.05,24106,19.09,,,1,3
AEUP101002,14,1,2002,DHARMENDRA,,Uttar_Pradesh,JAHANGIRGANJ,SC,IND,,716,M,6,1,FALSE,FALSE,0.65,0,0,,,,1
AEUP101004,14,1,2002,RAM SINGH,,Uttar_Pradesh,DABAI,GEN,BJP,,34485,M,2,1,FALSE,FALSE,39.44,32295,36.94,,,,1
AEUP101006,14,1,2002,FIRASAT ALI,,Uttar_Pradesh,DABAI,GEN,IND,,782,M,4,1,FALSE,FALSE,0.89,174,0.2,,,,1
AEUP101008,14,1,2002,YOGENDRA PAL SINGH,,Uttar_Pradesh,DABAI,GEN,IND,,555,M,6,1,FALSE,FALSE,0.63,167,0.19,,,,1
AEUP101010,14,1,2002,CHANDRA PRAKASH,,Uttar_Pradesh,DABAI,GEN,IND,,152,M,8,1,FALSE,FALSE,0.17,22,0.03,,,,1
AEUP101012,14,1,2002,JITENDRA KUMAR,,Uttar_Pradesh,DABAI,GEN,IND,,126,M,10,1,FALSE,FALSE,0.14,0,0,,,,1
AEUP101014,14,1,2003,FATEH BAHADUR,,Uttar_Pradesh,GAURIGANJ,GEN,INC,,31222,M,2,1,FALSE,FALSE,22.97,4065,2.99,,,,1
AEUP101016,14,0,2002,PRIYANK HARI VIJAY,,Uttar_Pradesh,GAURIGANJ,GEN,SP,,28143,M,4,2,FALSE,FALSE,21.35,20886,15.84,,,,1
AEUP101016,14,1,2003,PRIYANK HARI VIJAY,,Uttar_Pradesh,GAURIGANJ,GEN,SP,SP,26594,M,4,2,FALSE,FALSE,19.56,23880,17.57,,,,1
AEUP101018,14,1,2003,RAJESH SINGH,,Uttar_Pradesh,GAURIGANJ,GEN,IND,,1323,M,6,1,FALSE,FALSE,0.97,40,0.03,,,,1
AEUP101020,14,1,2003,RAJARAMS/O MATADEEN,,Uttar_Pradesh,GAURIGANJ,GEN,IND,,1040,M,8,1,FALSE,FALSE,0.77,122,0.09,,,,1
AEUP101022,14,1,2003,ALI RAJA,,Uttar_Pradesh,GAURIGANJ,GEN,AD,,879,M,10,1,FALSE,FALSE,0.65,37,0.03,,,,1
AEUP101024,14,1,2003,VIJAY PAL,,Uttar_Pradesh,GAURIGANJ,GEN,IND,,716,M,12,1,FALSE,FALSE,0.53,195,0.14,,,,1
AEUP101026,14,1,2003,PRERAN TRIPATHI,,Uttar_Pradesh,GAURIGANJ,GEN,IND,,426,M,14,1,FALSE,FALSE,0.31,72,0.05,,,,1
AEUP101028,14,1,2003,MOHD. ANSAR,,Uttar_Pradesh,GAURIGANJ,GEN,IND,,319,M,16,1,FALSE,FALSE,0.23,13,0.01,,,,1
AEUP101030,14,1,2003,DUDHLU,,Uttar_Pradesh,GAURIGANJ,GEN,IND,,306,M,18,1,FALSE,FALSE,0.23,8,0.01,,,,1
AEUP101035,9,0,1985,INDRA PRATAP SINGH,,Uttar_Pradesh,MAHSI,GEN,INC,,19198,M,1,3,FALSE,FALSE,38.17,7111,14.14,,,2,3
AEUP101035,10,0,1989,INDRA PRATAP SINGH,,Uttar_Pradesh,MAHSI,GEN,INC,INC,20882,M,1,3,FALSE,TRUE,30.18,2479,3.58,,,2,3
AEUP101035,14,1,2003,Indra Pratap Singh,,Uttar_Pradesh,MAHSI,GEN,INC,INC,4955,M,4,3,FALSE,FALSE,2.9,3070,1.8,,,2,3
AEUP101036,14,1,2003,Shri Lal,,Uttar_Pradesh,MAHSI,GEN,IND,,1885,M,5,1,FALSE,FALSE,1.1,487,0.29,,,,1
AEUP101038,14,1,2003,Lukman,,Uttar_Pradesh,MAHSI,GEN,IND,,1365,M,7,1,FALSE,FALSE,0.8,163,0.1,,,,1
AEUP101040,12,0,1993,VIVEK BANSAL,,Uttar_Pradesh,ALIGARH,GEN,INC,,10121,M,4,2,FALSE,FALSE,7.13,9963,7.02,,,1,2
AEUP101040,14,0,2002,VIVEK BANSAL,,Uttar_Pradesh,ALIGARH,GEN,INC,INC,47801,M,1,2,FALSE,FALSE,41.87,24444,21.41,,,1,2
AEUP101042,14,1,2003,Rajendra Prasad,,Uttar_Pradesh,MAHSI,GEN,LJNP,,685,M,11,1,FALSE,FALSE,0.4,66,0.04,,,,1
AEUP101044,14,1,2003,Mehendi Hassan,,Uttar_Pradesh,MAHSI,GEN,NLP,,536,M,13,1,FALSE,FALSE,0.31,84,0.05,,,,1
AEUP101046,14,1,2003,Babu Lal,,Uttar_Pradesh,MAHSI,GEN,IND,,428,M,15,1,FALSE,FALSE,0.25,48,0.03,,,,1
AEUP101048,13,0,1996,VIRENDRA SINGH,,Uttar_Pradesh,CHIRAIGAON,GEN,INC,,46121,M,1,2,FALSE,FALSE,29.74,400,0.26,,,2,2
AEUP101048,14,1,2003,VIRENDRA SINGH,,Uttar_Pradesh,CHIRAIGAON,GEN,BSP,INC,55527,M,1,2,TRUE,FALSE,39.52,3241,2.31,,,2,2
AEUP101050,14,1,2003,GAJANAND KUSHWAHA,,Uttar_Pradesh,CHIRAIGAON,GEN,AD,,14517,M,3,1,FALSE,FALSE,10.33,8460,6.02,,,,1
AEUP101052,14,1,2003,MADAN,,Uttar_Pradesh,CHIRAIGAON,GEN,IND,,1822,M,5,1,FALSE,FALSE,1.3,82,0.06,,,,1
AEUP101054,14,1,2003,MANOJ KUMAR NISHAD,,Uttar_Pradesh,CHIRAIGAON,GEN,IND,,1510,M,7,1,FALSE,FALSE,1.07,543,0.39,,,,1
AEUP101056,14,1,2003,DHARM MOURYA,,Uttar_Pradesh,CHIRAIGAON,GEN,RSD,,853,M,9,1,FALSE,FALSE,0.61,138,0.1,,,,1
AEUP101058,14,1,2003,AKIL,,Uttar_Pradesh,CHIRAIGAON,GEN,MC,,678,M,11,1,FALSE,FALSE,0.48,58,0.04,,,,1
AEUP101060,14,1,2003,SANJAY,,Uttar_Pradesh,CHIRAIGAON,GEN,IND,,571,M,13,1,FALSE,FALSE,0.41,129,0.09,,,,1
AEUP101062,14,1,2003,KAILASH VISHW KARMA,,Uttar_Pradesh,CHIRAIGAON,GEN,CPI(ML),,436,M,15,1,FALSE,FALSE,0.31,64,0.05,,,,1
AEUP101064,14,1,2003,SUBHASH CHANDRA,,Uttar_Pradesh,CHIRAIGAON,GEN,IND,,368,M,17,1,FALSE,FALSE,0.26,18,0.01,,,,1
AEUP101066,14,1,2003,UMESH KUMAR RAJBHAR,,Uttar_Pradesh,CHIRAIGAON,GEN,IND,,287,M,19,1,FALSE,FALSE,0.2,91,0.06,,,,1
AEUP101069,9,0,1985,VIMLA RAKESH,,Uttar_Pradesh,HARORA,SC,LKD,,31756,F,1,7,FALSE,FALSE,42.64,5694,7.65,,,3,5
AEUP101069,11,0,1991,VIMLA RAKESH,,Uttar_Pradesh,HARORA,SC,JD,LKD,48644,F,1,7,TRUE,FALSE,47.25,16819,16.34,,,3,5
AEUP101069,12,0,1993,VIPILA RAKESH,,Uttar_Pradesh,HARORA,SC,JD,JD,37601,F,2,7,FALSE,TRUE,29.06,9343,7.22,,,3,5
AEUP101069,13,0,1996,VIMLA RAKESH,,Uttar_Pradesh,HARORA,SC,SP,JD,57229,F,2,7,TRUE,FALSE,33.52,29288,17.15,,,3,5
AEUP101069,13,1,1998,Vimla Rakesh,,Uttar_Pradesh,HARORA,SC,SP,SP,19426,F,3,7,FALSE,FALSE,18.06,13275,12.34,,,3,5
AEUP101069,14,0,2002,VIMLA RAKESH,,Uttar_Pradesh,HARORA,SC,SP,SP,41899,F,2,7,FALSE,FALSE,28.27,26521,17.89,,,3,5
AEUP101069,14,1,2003,Vimla Rakesh,,Uttar_Pradesh,HARORA(SC),SC,SP,SP,84839,F,1,7,FALSE,FALSE,48.08,3687,2.09,,,3,5
AEUP101070,14,1,2003,Jagpal,,Uttar_Pradesh,HARORA(SC),SC,BSP,,81152,M,2,1,FALSE,FALSE,45.99,78243,44.34,,,,1
AEUP101072,12,0,1993,SHAKUNTLA,,Uttar_Pradesh,HARORA,SC,INC,,16785,F,4,2,FALSE,FALSE,12.97,15326,11.85,,,,2
AEUP101072,14,1,2003,Shakuntla,,Uttar_Pradesh,HARORA(SC),SC,INC,INC,2320,F,4,2,FALSE,FALSE,1.31,576,0.33,,,,2
AEUP101074,14,1,2003,Amar Singh,,Uttar_Pradesh,HARORA(SC),SC,NLP,,879,M,6,1,FALSE,FALSE,0.5,219,0.12,,,,1
AEUP101076,14,1,2003,Mamta Chowdhary,,Uttar_Pradesh,HARORA(SC),SC,IND,,415,F,8,1,FALSE,FALSE,0.24,56,0.03,,,,1
AEUP101078,14,1,2003,Deepak Jatav,,Uttar_Pradesh,HARORA(SC),SC,LJNP,,341,M,10,1,FALSE,FALSE,0.19,174,0.1,,,,1
