pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEOD000008,6,0,1974,SATYASUNDAR MISRA,,Odisha,KHANDAPARA,GEN,IND,,20326,M,1,2,FALSE,FALSE,44.77,3873,8.53,,,2,2
AEOD000008,7,0,1977,SATYASUNDAR MISHRA,,Odisha,KHANDAPARA,GEN,IND,IND,17217,M,1,2,FALSE,TRUE,42.68,950,2.35,,,2,2
AEOD10001,5,0,1971,ARUN DEY,,Odisha,BALASORE,GEN,CPI,,4136,M,5,3,FALSE,FALSE,11.35,1480,4.06,,,1,3
AEOD10001,6,0,1974,ARUN DEY,,Odisha,BALASORE,GEN,CPI,CPI,12620,M,1,3,FALSE,FALSE,24.73,692,1.36,,,1,3
AEOD10001,7,0,1977,ARUN DEY,,Odisha,BALASORE,GEN,CPI,CPI,10509,M,2,3,FALSE,TRUE,25.12,1544,3.69,,,1,3
AEOD10012,5,0,1971,HARA PRASAD MOHAPATRA,,Odisha,SORE,GEN,SWA,,12417,M,2,3,FALSE,FALSE,27.37,3379,7.45,,,1,3
AEOD10012,6,0,1974,HARAPRASAD MOHAPATRA,,Odisha,SORO,GEN,SWA,SWA,19900,M,2,3,FALSE,FALSE,37.74,18899,35.84,,,1,3
AEOD10012,7,0,1977,HARAPRASAD MOHAPATRA,,Odisha,SORO,GEN,JNP,SWA,23920,M,1,3,TRUE,FALSE,65.03,15817,43,,,1,3
AEOD10033,5,0,1971,HRUDANANDA MULLICK,,Odisha,DHAMNAGAR,GEN,UTC,,25682,M,1,3,FALSE,FALSE,50,6461,12.58,,,3,3
AEOD10033,6,0,1974,HRUDANANDA MALLICK,,Odisha,DHAMNAGAR,GEN,UTC,UTC,21795,M,1,3,FALSE,TRUE,42.94,713,1.4,,,3,3
AEOD10033,7,0,1977,HRUDANANDA MALLICK,,Odisha,DHAMNAGAR,GEN,JNP,UTC,24720,M,1,3,TRUE,TRUE,54.21,3841,8.42,,,3,3
AEOD10038,5,0,1971,GANGADHAR DAS,,Odisha,CHANDBALI,SC,INC,,23305,M,1,3,FALSE,FALSE,54.39,9489,22.14,,,2,3
AEOD10038,6,0,1974,GANGADHAR DAS,,Odisha,CHANDBALI,SC,UTC,INC,19587,M,2,3,TRUE,TRUE,38.74,16483,32.6,,,2,3
AEOD10038,7,0,1977,GANGADHAR DAS,,Odisha,CHANDBALI,SC,JNP,UTC,26493,M,1,3,TRUE,FALSE,61.69,10038,23.37,,,2,3
AEOD10043,5,0,1971,GHANASAYAM DAS,,Odisha,CHANDBALI,SC,IND,,965,M,6,3,FALSE,FALSE,2.25,0,0,,,,3
AEOD10043,6,0,1974,GHANASYAM DAS,,Odisha,CHANDBALI,SC,IND,IND,3104,M,3,3,FALSE,FALSE,6.14,2696,5.33,,,,3
AEOD10043,7,0,1977,GHANASHYAM DAS,,Odisha,CHANDBALI,SC,INC,IND,16455,M,2,3,FALSE,FALSE,38.31,0,0,,,,3
AEOD10051,5,0,1971,SANATAN DEO,,Odisha,SUKINDA,GEN,UTC,,10370,M,1,3,FALSE,FALSE,34.27,2805,9.27,,,2,3
AEOD10051,6,0,1974,SANATAN DEO,,Odisha,SUKINDA,GEN,INC,UTC,14674,M,1,3,TRUE,TRUE,37.1,6537,16.53,,,2,3
AEOD10051,7,0,1977,SANATAN DEO,,Odisha,SUKINDA,GEN,INC,INC,6934,M,3,3,FALSE,TRUE,21.6,4781,14.9,,,2,3
AEOD10052,5,0,1971,ANANDAMANJARI DEVI,,Odisha,SUKINDA,GEN,JAC,,7565,M,2,3,FALSE,FALSE,25,2272,7.51,,,1,3
AEOD10052,6,0,1974,ANANDA MANJARI DEVI,,Odisha,SUKINDA,GEN,IND,JAC,8137,F,2,3,FALSE,FALSE,20.57,595,1.5,,,1,3
AEOD10052,7,0,1977,ANANDA MANJARI DEVI,,Odisha,SUKINDA,GEN,JNP,IND,12853,F,1,3,FALSE,FALSE,40.04,3816,11.89,,,1,3
