pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH101856,3,0,1972,SITARAM RAMCHANDRA JAGTAP,,Maharashtra,SANTACRUZ,GEN,CPI,,6971,M,4,1,FALSE,FALSE,8.97,5875,7.56,,,,1
AEMH102027,3,0,1972,LEELADHAR BALAJI DAKE,,Maharashtra,KURLA,GEN,SHS,,11842,M,2,1,FALSE,FALSE,13.6,319,0.37,,,,1
AEMH105870,3,0,1972,VITHAL BUDHAJI SASANE,,Maharashtra,ULHASNAGAR,GEN,RPI,,2324,M,5,1,FALSE,FALSE,3.71,1799,2.87,,,,1
AEMH105915,3,0,1972,NARAYAN GIRMAJI PATIL,,Maharashtra,KANNAD,GEN,INC,,25765,M,1,1,FALSE,FALSE,55.65,5229,11.29,,,1,1
AEMH106160,1,0,1962,SADASHIV NARAYAN BHALERAO,,Maharashtra,JALGAON,GEN,CPI,,8043,M,2,2,FALSE,FALSE,22.69,1817,5.13,,,,2
AEMH106160,3,0,1972,BHALERAO SADASHIV NARAYAN,,Maharashtra,JALGAON,GEN,CPI,CPI,20199,M,2,2,FALSE,FALSE,39.17,13055,25.32,,,,2
AEMH106685,3,0,1972,MUSALE DEORAO JANARDHAN,,Maharashtra,RAJURA,GEN,IND,,19735,M,2,1,FALSE,FALSE,37.22,13522,25.5,,,,1
AEMH107209,1,0,1962,SAMPATRAO MARUTI PATIL,,Maharashtra,KARMALA,GEN,PWP,,11296,M,3,2,FALSE,FALSE,26.79,10273,24.37,,,,2
AEMH107209,3,0,1972,PATIL SAMPATRAO MARUTI,,Maharashtra,MADHA,GEN,PWP,PWP,16434,M,2,2,FALSE,FALSE,26.95,4385,7.19,,,,2
AEMH107481,3,0,1972,BHOSALE BAPURAO SHIWARAM,,Maharashtra,MAN,SC,IND,,5528,M,2,1,FALSE,FALSE,13.12,2131,5.06,,,,1
AEMH107701,1,0,1962,ABDUL RAHIM A. GAFOOR ANTULAY,,Maharashtra,SHRIWARDHAN,GEN,INC,,16684,M,1,2,FALSE,FALSE,57.49,9209,31.73,,,2,2
AEMH107701,3,0,1972,A. R. ANTULE,,Maharashtra,SHRIWARDHAN,GEN,INC,INC,47290,M,1,2,FALSE,FALSE,84.3,38482,68.6,,,2,2
AEMH108796,3,0,1972,CHEWLE SANTRAM SAMBHAJI,,Maharashtra,RENAPUR,GEN,PWP,,16752,M,2,1,FALSE,FALSE,31.42,13385,25.1,,,,1
AEMH109235,1,0,1962,SITARAM SAKHARAM SAWANT,,Maharashtra,KANKAOLI,GEN,PWP,,4864,M,3,2,FALSE,FALSE,19.06,3751,14.7,,,,2
AEMH109235,3,0,1972,SITARAM SAKHARAM SAWANT,,Maharashtra,KANKAVLI,GEN,PWP,PWP,13376,M,2,2,FALSE,FALSE,31.43,12458,29.27,,,,2
AEMH109455,3,0,1972,RAGINWAR RAJESWAR WAMAN,,Maharashtra,ANDHERI,GEN,SHS,,17427,M,2,1,FALSE,FALSE,18.44,4746,5.02,,,,1
AEMH109511,3,0,1972,RAMCHANDRA VISHNU PADWAL,,Maharashtra,MULUND,GEN,SHS,,18542,M,2,1,FALSE,FALSE,14.51,908,0.71,,,,1
AEMH109522,3,0,1972,VIMAL KAANDERAO RANGNEKAR,,Maharashtra,THANA,GEN,INC,,47730,M,1,1,FALSE,FALSE,59.54,33012,41.18,,,1,1
AEMH109631,3,0,1972,NIVRITTI RAMJI BHORKADE,,Maharashtra,YEOLA,GEN,IND,,30923,M,1,1,FALSE,FALSE,58.91,15414,29.37,,,1,1
AEMH109632,3,0,1972,BHIKA NATHU PATIL,,Maharashtra,RAVER,GEN,BJS,,3748,M,2,1,FALSE,FALSE,6.98,0,0,,,,1
AEMH109646,3,0,1972,HIRY BALIRAM VAMAN,,Maharashtra,DAUHADI,GEN,INC,,28805,M,1,1,FALSE,FALSE,56.63,10937,21.5,,,1,1
AEMH109724,1,0,1962,ZULAL BHILAJIRAO PATIL,,Maharashtra,DHULIA NORTH,GEN,PWP,,7634,M,2,2,FALSE,FALSE,18.86,3791,9.36,,,,2
AEMH109724,3,0,1972,ZULAL BHILAJIRAO PATIL,,Maharashtra,SHULIA NORTH,GEN,PWP,PWP,15623,M,2,2,FALSE,FALSE,31.26,15174,30.37,,,,2
AEMH109796,3,0,1972,KASHIRAM MOTIRAM PATIL,,Maharashtra,YAWAL,GEN,SOP,,15022,M,2,1,FALSE,FALSE,33.69,0,0,,,,1
AEMH109828,3,0,1972,JAGARAO RAOJI CHAVAN,,Maharashtra,LONAR,GEN,INC,,25452,M,1,1,FALSE,FALSE,47.93,5046,9.5,,,1,1
AEMH109985,3,0,1972,SHARAD MOTIRAO TASARE,,Maharashtra,CHANDUR,GEN,INC,,48403,M,1,1,FALSE,FALSE,71.54,42410,62.68,,,1,1
AEMH110011,3,0,1972,DEORAOJI ZHOLBAJI KOLHE,,Maharashtra,HINGANGMAT,GEN,RPK,,19092,M,2,1,FALSE,FALSE,25.9,8788,11.92,,,,1
AEMH110019,3,0,1972,SHRWAN DOMA DARNE,,Maharashtra,UMRER,GEN,IND,,18368,M,2,1,FALSE,FALSE,33.23,13838,25.03,,,,1
AEMH110174,1,0,1962,SHAMRAO PAGA KAPGATE,,Maharashtra,SAKOLI,GEN,JS,,14324,M,2,2,FALSE,FALSE,26.95,576,1.08,,,,2
AEMH110174,3,0,1972,SHYAMRAO PAGAJI KAPGATE,,Maharashtra,SAKOLI,GEN,BJS,JS,21245,M,2,2,FALSE,FALSE,31.03,9895,14.45,,,,2
AEMH110307,3,0,1972,SINDE VITHALRAO RAGHOJI,,Maharashtra,HADGAON,GEN,PWP,,320,M,6,1,FALSE,FALSE,0.63,48,0.09,,,,1
AEMH110372,3,0,1972,JANKAR RAOSAHEB BAPUSAHEB,,Maharashtra,PARBHANI,GEN,INC,,26293,M,1,1,FALSE,FALSE,51.29,6965,13.59,,,1,1
AEMH110696,3,0,1972,MHASKE KISANRAV BALAJI,,Maharashtra,AHMEDNAGAR NORTH,GEN,INC,,31779,M,1,1,FALSE,FALSE,65.99,15399,31.98,,,1,1
