pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMN200208,2,0,1972,HEMAM NILAMANI,,Manipur,MOIRANG,IND,,3076,M,1,1,FALSE,FALSE,39.9,121,1.57,,,1,1
AEMN200253,2,0,1972,LAISRAM KHOMDON,,Manipur,WANGJING TENTHA,NCO,,2180,M,2,1,FALSE,FALSE,26.59,696,8.49,,,,1
AEMN200262,2,0,1972,LAISRAM MANI,,Manipur,KHANGABOX,INC,,1454,M,3,1,FALSE,FALSE,19.29,0,0,,,,1
AEMN200308,2,0,1972,YANGMASO SHAIZA,,Manipur,UKHRUL,IND,,4055,M,1,1,FALSE,FALSE,59.38,2163,31.67,,,1,1
AEMN200322,2,0,1972,KHANGARA ANTH,,Manipur,SAIKUL,MRP,,1085,M,4,1,FALSE,FALSE,13.84,200,2.55,,,,1
AEMN200357,2,0,1972,TP KIULENGPOU,,Manipur,TAMENGLONG,IND,,1435,M,1,1,FALSE,FALSE,35.5,375,9.28,,,1,1
AEMN200367,2,0,1972,KALANLUNG,,Manipur,NUNGBA,INC,,1374,M,1,1,FALSE,FALSE,38.41,489,13.67,,,1,1
AEMN200401,2,0,1972,THANGKHANLAL,,Manipur,SINGHAT,INC,,5166,M,1,1,FALSE,FALSE,49.41,2164,20.7,,,1,1
AEMN200425,2,0,1972,ATOMBA NGAIRANGBAMCHA,,Manipur,KHURAI,NCO,,2027,M,1,1,FALSE,FALSE,25.57,40,0.5,,,1,1
AEMN200432,2,0,1972,OINAM TOMBA SINGH,,Manipur,THUNGJU,MRP,,4027,M,1,1,FALSE,FALSE,46.81,1987,23.1,,,1,1
AEMN200448,2,0,1972,MAIBAM GOURAMANI,,Manipur,THANGMEIBAND,MRP,,2080,M,2,1,FALSE,FALSE,28.19,30,0.41,,,,1
AEMN200456,2,0,1972,THOKCHOM BIRA,,Manipur,SAGOLBAND,CPI,,2427,M,1,1,FALSE,FALSE,42.21,321,5.58,,,1,1
AEMN200473,2,0,1972,SERAM ANGOUBA SINGH,,Manipur,WANGKHEI,INC,,2512,M,1,1,FALSE,FALSE,35.26,12,0.17,,,1,1
AEMN200477,2,0,1972,KHWAIRAKPAM CHAOBA,,Manipur,SEKMAI,MRP,,2930,M,1,1,FALSE,FALSE,50.13,15,0.26,,,1,1
AEMN200487,2,0,1972,KHANGEMBAM LAKSHMAN,,Manipur,KONTHOUJAM,MRP,,2942,M,1,1,FALSE,FALSE,39.2,415,5.53,,,1,1
AEMN200511,2,0,1972,KHAIDEM MANGOL SINGH,,Manipur,MAYANG IMPHA,CPI,,1472,M,3,1,FALSE,FALSE,17.95,161,1.96,,,,1
AEMN200533,1,0,1967,ALIMUDDIN,,Manipur,LILONG,INC,,5199,M,1,2,FALSE,FALSE,39.09,215,1.62,,,2,2
AEMN200533,2,0,1972,ALIMUDDIN,,Manipur,LILONG,MRP,INC,4456,M,1,2,TRUE,TRUE,57.53,1167,15.07,,,2,2
AEMN200589,2,0,1972,H.T. THUNGAM,,Manipur,CHANDEL,IND,,6064,M,1,1,FALSE,FALSE,59.29,1901,18.59,,,1,1
AEMN200597,2,0,1972,SOLIM BAITE,,Manipur,TENGNOUPAL,IND,,1250,M,2,1,FALSE,FALSE,19.84,12,0.19,,,,1
AEMN200610,2,0,1972,THONGKHOPAO,,Manipur,SAIKUL,IND,,1316,M,2,1,FALSE,FALSE,16.79,17,0.22,,,,1
AEMN200622,2,0,1972,JAMES LOKHO KOLAKHE,,Manipur,MAO,IND,,2013,M,2,1,FALSE,FALSE,32.64,100,1.62,,,,1
AEMN200632,2,0,1972,SEIKHOHAO,,Manipur,SAITU,IND,,1051,M,2,2,FALSE,FALSE,14.72,209,2.93,,,,1
AEMN200632,2,0,1972,SEIKHO,,Manipur,SAITU,IND,IND,842,M,3,2,FALSE,FALSE,11.79,7,0.1,,,,1
AEMN200645,2,0,1972,DIJINGANG,,Manipur,TAMENGLONG,IND,,1060,M,2,1,FALSE,FALSE,26.22,45,1.11,,,,1
AEMN200658,2,0,1972,N GOUZAGIN,,Manipur,THANLON,IND,,2677,M,1,1,FALSE,FALSE,51.27,1343,25.72,,,1,1
AEMN200660,2,0,1972,HOLKHOMANG,,Manipur,HENGLEP,IND,,5140,M,1,1,FALSE,FALSE,48.91,1963,18.68,,,1,1
AEMN200678,2,0,1972,TELEM BIR,,Manipur,SAGOLMANG,INC,,2768,M,1,1,FALSE,FALSE,38.3,657,9.09,,,1,1
AEMN200680,2,0,1972,NGANGOM HERACHANDO,,Manipur,SAGOLMANG,NCO,,926,M,3,1,FALSE,FALSE,12.81,128,1.77,,,,1
AEMN200682,2,0,1972,NINGOMBAM NINGTHEMJAO,,Manipur,SAGOLMANG,MRP,,625,M,5,1,FALSE,FALSE,8.65,0,0,,,,1
AEMN200683,2,0,1972,THOKCHOM KUNJO SINGH,,Manipur,KHUNDRAKPAM,INC,,1863,M,1,1,FALSE,FALSE,26.25,214,3.02,,,1,1
AEMN200685,2,0,1972,SALAM TOMBI,,Manipur,KHUNDRAKPAM,MRP,,1573,M,3,1,FALSE,FALSE,22.16,99,1.39,,,,1
AEMN200686,2,0,1972,LOUREMBAM BIRCHANDRA,,Manipur,KHUNDRAKPAM,NCO,,1474,M,4,1,FALSE,FALSE,20.77,936,13.19,,,,1
AEMN200687,2,0,1972,SENJAM DAMUDOR SINGH,,Manipur,KHUNDRAKPAM,SOP,,538,M,5,1,FALSE,FALSE,7.58,0,0,,,,1
