pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
7824,5,0,1993,RAM VIR SINGH BIDHURI,,Delhi,BADARPUR,GEN,JD,,22102,M,1,2,FALSE,FALSE,41.61,7066,13.3,,,1,2
7824,6,0,1998,RAMVIR SINGH BIDHURI,,Delhi,BADARPUR,GEN,INC,JD,26259,M,2,2,TRUE,TRUE,29.46,17401,19.52,,,1,2
7877,5,0,1993,RAJBIR,,Delhi,DR. AMBEDKAR NAGAR,SC,CPM,,3841,M,4,2,FALSE,FALSE,8.58,2157,4.82,,,,2
7877,6,0,1998,RAJBIR,,Delhi,DR. AMBEDKAR NAGAR,SC,CPM,CPM,3614,M,3,2,FALSE,FALSE,6.91,284,0.54,,,,2
7906,6,0,1998,ASIF MOHHAMAD KHAN,,Delhi,OKHLA,GEN,SP,,5693,M,3,1,FALSE,FALSE,10.04,4255,7.51,,,,1
7913,5,0,1993,RAJENDRA GUPTA,,Delhi,MALVIYA NAGAR,GEN,BJP,,19319,M,1,2,FALSE,FALSE,42.99,258,0.57,,,1,2
7913,6,0,1998,RAJENDRA GUPTA,,Delhi,MALVIYA NAGAR,GEN,BJP,BJP,22946,M,2,2,FALSE,TRUE,40.97,21540,38.46,,,1,2
7916,6,0,1998,RAJ SINGH MANN,,Delhi,BHALSWA JAHANGIRPUR,GEN,RJD,,556,M,8,1,FALSE,FALSE,0.73,35,0.05,,,,1
AEDL100582,6,0,1998,SHISH PAL SINGH,,Delhi,TUGLAKABAD,GEN,INC,,39551,M,1,1,FALSE,FALSE,49.59,8879,11.13,,,1,1
AEDL103339,6,0,1998,SH. RAM BHAJ,,Delhi,SAROJINI NAGAR,GEN,BJP,,21318,M,1,1,FALSE,FALSE,49.8,1528,3.57,,,1,1
AEDL103340,6,0,1998,MUKESH BHATT,,Delhi,SAROJINI NAGAR,GEN,INC,,19790,M,2,1,FALSE,FALSE,46.23,19049,44.5,,,,1
AEDL103353,6,0,1998,RAM KUMAR,,Delhi,GOLE MARKET,GEN,SP,,321,M,5,1,FALSE,FALSE,0.7,82,0.18,,,,1
AEDL103355,6,0,1998,RAM MURAT SHOLA,,Delhi,GOLE MARKET,GEN,LSWP,,154,M,7,1,FALSE,FALSE,0.33,15,0.03,,,,1
AEDL103358,6,0,1998,ARUN JAIN ENGINEER,,Delhi,MINTO ROAD,GEN,BJP,,14050,M,2,1,FALSE,FALSE,26.2,6394,11.92,,,,1
AEDL103360,6,0,1998,MINOO KAIM,,Delhi,MINTO ROAD,GEN,BSP,,960,F,4,1,FALSE,FALSE,1.79,485,0.9,,,,1
AEDL103361,6,0,1998,ANFAL NIZAM,,Delhi,MINTO ROAD,GEN,JD,,475,M,5,1,FALSE,FALSE,0.89,7,0.01,,,,1
AEDL103365,6,0,1998,SUFI MOHD. NASEEM SULTANI,,Delhi,MINTO ROAD,GEN,LSWP,,222,M,9,1,FALSE,FALSE,0.41,22,0.04,,,,1
AEDL103366,6,0,1998,ASHOK KUMAR TIWARI,,Delhi,MINTO ROAD,GEN,SHS,,200,M,10,1,FALSE,FALSE,0.37,116,0.22,,,,1
AEDL103368,6,0,1998,SUSHIL CHOUDHARY,,Delhi,KASTURBA NAGAR,GEN,BJP,,20146,M,1,1,FALSE,FALSE,42.04,899,1.88,,,1,1
AEDL103369,6,0,1998,RAM RATTAN GUPTA,,Delhi,KASTURBA NAGAR,GEN,INC,,19247,M,2,1,FALSE,FALSE,40.16,12422,25.92,,,,1
AEDL103371,6,0,1998,RAM KARAN GUPTA,,Delhi,KASTURBA NAGAR,GEN,JD,,922,M,4,1,FALSE,FALSE,1.92,436,0.91,,,,1
AEDL103375,6,0,1998,BIR BAHADUR,,Delhi,JANGPURA,GEN,BJP,,16465,M,2,1,FALSE,FALSE,29.86,7860,14.25,,,,1
AEDL103377,6,0,1998,HARI LAL MANDORA,,Delhi,JANGPURA,GEN,BSP,,464,M,4,1,FALSE,FALSE,0.84,45,0.08,,,,1
AEDL103378,6,0,1998,INDER JIT SINGH SETHI,,Delhi,JANGPURA,GEN,JD,,419,M,5,1,FALSE,FALSE,0.76,65,0.12,,,,1
AEDL103383,6,0,1998,PARVEZ HASHMI,,Delhi,OKHLA,GEN,INC,,32774,M,1,1,FALSE,FALSE,57.83,18161,32.04,,,1,1
AEDL103384,6,0,1998,KRISHAN KUMAR MEHTA,,Delhi,OKHLA,GEN,BJP,,14613,M,2,1,FALSE,FALSE,25.78,8920,15.74,,,,1
AEDL103386,6,0,1998,ASGHAR KHAN,,Delhi,OKHLA,GEN,BSP,,1438,M,4,1,FALSE,FALSE,2.54,805,1.42,,,,1
AEDL103388,6,0,1998,ASHRAF KHAN,,Delhi,OKHLA,GEN,JD,,534,M,6,1,FALSE,FALSE,0.94,44,0.08,,,,1
AEDL103389,6,0,1998,PYARE LAL VEDYAL,,Delhi,OKHLA,GEN,ICS,,490,M,7,1,FALSE,FALSE,0.86,213,0.38,,,,1
AEDL103390,6,0,1998,ZAHID KHAN,,Delhi,OKHLA,GEN,NDPF,,277,M,8,1,FALSE,FALSE,0.49,195,0.34,,,,1
AEDL103394,6,0,1998,PHOOL SINGH,,Delhi,OKHLA,GEN,LSWP,,24,M,12,1,FALSE,FALSE,0.04,9,0.02,,,,1
AEDL103398,6,0,1998,SEWA SINGH,,Delhi,KALKAJI,GEN,BSP,,665,M,3,1,FALSE,FALSE,1.19,462,0.83,,,,1
AEDL103399,6,0,1998,JASVINDER SINGH,,Delhi,KALKAJI,GEN,JD,,203,M,4,1,FALSE,FALSE,0.36,104,0.19,,,,1
AEDL103400,6,0,1998,VIJENDER KUMAR,,Delhi,KALKAJI,GEN,SJP(R),,99,M,5,1,FALSE,FALSE,0.18,2,0,,,,1
AEDL103402,6,0,1998,LAXMI NARAYAN GOYAL,,Delhi,KALKAJI,GEN,ABJS,,70,M,7,1,FALSE,FALSE,0.13,8,0.01,,,,1
AEDL103406,6,0,1998,PITAMBER SINGH,,Delhi,MALVIYA NAGAR,GEN,BSP,,1406,M,3,1,FALSE,FALSE,2.51,1098,1.96,,,,1
AEDL103407,6,0,1998,MOHD. FEROZ KHAN,,Delhi,MALVIYA NAGAR,GEN,JD,,308,M,4,1,FALSE,FALSE,0.55,61,0.11,,,,1
AEDL103408,6,0,1998,MOHD. UMAR,,Delhi,MALVIYA NAGAR,GEN,SP,,247,M,5,1,FALSE,FALSE,0.44,175,0.31,,,,1
AEDL103409,6,0,1998,SHAILENDER CHOUDHARY,,Delhi,MALVIYA NAGAR,GEN,ABSR,,72,M,6,1,FALSE,FALSE,0.13,2,0,,,,1
AEDL103410,6,0,1998,WAHID HUSSAIN,,Delhi,MALVIYA NAGAR,GEN,AP,,70,M,7,1,FALSE,FALSE,0.12,25,0.04,,,,1
AEDL103413,6,0,1998,PROFESSOR KIRAN WALIA,,Delhi,HAUZ KHAS,GEN,INC,,22652,F,2,1,FALSE,FALSE,44.19,21351,41.65,,,,1
AEDL103416,6,0,1998,RAM PAL SINGH,,Delhi,HAUZ KHAS,GEN,JP,,407,M,5,1,FALSE,FALSE,0.79,108,0.21,,,,1
AEDL103418,6,0,1998,DHARAM VIR,,Delhi,HAUZ KHAS,GEN,ABSR,,267,M,7,1,FALSE,FALSE,0.52,38,0.07,,,,1
AEDL103419,6,0,1998,SITA RAM BHARDWAJ,,Delhi,HAUZ KHAS,GEN,JD,,229,M,8,1,FALSE,FALSE,0.45,0,0,,,,1
AEDL103420,6,0,1998,ASHOK SINGH,,Delhi,R.K.PURAM,GEN,INC,,20509,M,1,1,FALSE,FALSE,45.97,3357,7.52,,,1,1
AEDL103437,6,0,1998,SHIV KUMAR SONDHI,,Delhi,JANAK PURI,GEN,INC,,23415,M,2,1,FALSE,FALSE,42.04,22665,40.69,,,,1
AEDL103438,6,0,1998,RAJBIR SINGH,,Delhi,JANAK PURI,GEN,LS,,750,M,3,1,FALSE,FALSE,1.35,526,0.94,,,,1
AEDL103440,6,0,1998,NARESH MALIK,,Delhi,JANAK PURI,GEN,SHS,,148,M,5,1,FALSE,FALSE,0.27,99,0.18,,,,1
AEDL103443,6,0,1998,O.P.WADHWA,,Delhi,HARI NAGAR,GEN,INC,,28519,M,2,1,FALSE,FALSE,48.74,28186,48.17,,,,1
AEDL103444,6,0,1998,RAJINDER SINGH,,Delhi,HARI NAGAR,GEN,SP,,333,M,3,1,FALSE,FALSE,0.57,91,0.16,,,,1
AEDL103445,6,0,1998,AFROZ KHAN,,Delhi,HARI NAGAR,GEN,JD,,242,M,4,1,FALSE,FALSE,0.41,113,0.19,,,,1
AEDL103451,6,0,1998,MANNU DEVI,,Delhi,TILAK NAGAR,GEN,BSP,,414,F,3,1,FALSE,FALSE,0.75,29,0.05,,,,1
AEDL103453,6,0,1998,RANJIT SINGH,,Delhi,TILAK NAGAR,GEN,SP,,330,M,5,1,FALSE,FALSE,0.6,44,0.08,,,,1
AEDL103454,6,0,1998,VINOD KUMAR,,Delhi,TILAK NAGAR,GEN,JD,,286,M,6,1,FALSE,FALSE,0.52,1,0,,,,1
AEDL103455,6,0,1998,JITENDER SABHARWAL,,Delhi,TILAK NAGAR,GEN,SHS,,285,M,7,1,FALSE,FALSE,0.51,153,0.28,,,,1
AEDL103462,6,0,1998,KRISHAN LAL BHARTI,,Delhi,TILAK NAGAR,GEN,JP,,56,M,14,1,FALSE,FALSE,0.1,16,0.03,,,,1
AEDL103465,6,0,1998,SASHI PRABHA ARYA,,Delhi,RAJOURI GARDEN,GEN,BJP,,16763,F,2,1,FALSE,FALSE,30.55,15669,28.56,,,,1
AEDL103477,6,0,1998,OM PARKASH PHULWARIA,,Delhi,MADIPUR,SC,RPI,,146,M,5,1,FALSE,FALSE,0.24,104,0.17,,,,1
AEDL103481,6,0,1998,SHIV KUMAR,,Delhi,TRI NAGAR,GEN,SP,,543,M,3,1,FALSE,FALSE,1.08,299,0.59,,,,1
AEDL103483,6,0,1998,NATHU SINGH GARG,,Delhi,TRI NAGAR,GEN,SAP,,200,M,5,1,FALSE,FALSE,0.4,51,0.1,,,,1
AEDL103490,6,0,1998,DEEPAK KUMAR GUPTA,,Delhi,SHAKURBASTI,GEN,JP,,184,M,4,1,FALSE,FALSE,0.29,18,0.03,,,,1
AEDL103491,6,0,1998,AJAY SHRIVASTAVA,,Delhi,SHAKURBASTI,GEN,SHS,,166,M,5,1,FALSE,FALSE,0.26,0,0,,,,1
AEDL103492,6,0,1998,RAVINDER NATH,,Delhi,SHALIMAR BAGH,GEN,BJP,,32623,M,1,1,FALSE,FALSE,57.37,10005,17.59,,,1,1
AEDL103493,6,0,1998,SARLA KAUSHIK,,Delhi,SHALIMAR BAGH,GEN,INC,,22618,F,2,1,FALSE,FALSE,39.77,21962,38.62,,,,1
AEDL103496,6,0,1998,JAGDISH CHANDRA,,Delhi,SHALIMAR BAGH,GEN,BSP,,305,M,5,1,FALSE,FALSE,0.54,259,0.46,,,,1
AEDL103500,6,0,1998,JAI BHAGWAN AGGARWAL,,Delhi,BADLI,GEN,BJP,,42259,M,1,1,FALSE,FALSE,47.95,4437,5.03,,,1,1
AEDL103501,6,0,1998,NARAIN SINGH YADAV,,Delhi,BADLI,GEN,INC,,37822,M,2,1,FALSE,FALSE,42.91,34014,38.59,,,,1
AEDL103503,5,0,1993,RAMESH CHANDRA SHARMA,,Delhi,BADLI,GEN,DPP,,1320,M,5,2,FALSE,FALSE,2.12,1049,1.68,,,,2
AEDL103503,6,0,1998,RAMESH CHANDER SHARMA,,Delhi,BADLI,GEN,SAP,DPP,2509,M,4,2,TRUE,FALSE,2.85,1512,1.72,,,,2
AEDL103505,6,0,1998,RAMGOPAL SISODIA,,Delhi,BADLI,GEN,LS,,239,M,6,1,FALSE,FALSE,0.27,75,0.09,,,,1
AEDL103512,6,0,1998,RAMESH KUMAR,,Delhi,SAHIBABAD DAULATPUR,GEN,INC,,35328,M,1,1,FALSE,FALSE,44.54,9799,12.35,,,1,1
AEDL103513,6,0,1998,KULWANT RANA,,Delhi,SAHIBABAD DAULATPUR,GEN,BJP,,25529,M,2,1,FALSE,FALSE,32.18,17909,22.58,,,,1
AEDL103515,6,0,1998,HARI SINGH,,Delhi,SAHIBABAD DAULATPUR,GEN,BSP,,4040,M,4,1,FALSE,FALSE,5.09,2610,3.29,,,,1
AEDL103516,6,0,1998,KANWAR SINGH,,Delhi,SAHIBABAD DAULATPUR,GEN,SHS,,1430,M,5,1,FALSE,FALSE,1.8,137,0.17,,,,1
AEDL103517,6,0,1998,BHUPINDER SINGH RAWAT,,Delhi,SAHIBABAD DAULATPUR,GEN,DBP,,1293,M,6,1,FALSE,FALSE,1.63,4,0.01,,,,1
AEDL103518,6,0,1998,SATISH YADAV,,Delhi,SAHIBABAD DAULATPUR,GEN,JD,,1289,M,7,1,FALSE,FALSE,1.63,102,0.13,,,,1
AEDL103519,6,0,1998,MEHRUDDIN,,Delhi,SAHIBABAD DAULATPUR,GEN,LD,,1187,M,8,1,FALSE,FALSE,1.5,765,0.96,,,,1
AEDL103520,6,0,1998,RANBIR SINGH PAL,,Delhi,SAHIBABAD DAULATPUR,GEN,RJD,,422,M,9,1,FALSE,FALSE,0.53,155,0.2,,,,1
AEDL103521,6,0,1998,BADRI PRASAD SHARMA,,Delhi,SAHIBABAD DAULATPUR,GEN,LS,,267,M,10,1,FALSE,FALSE,0.34,8,0.01,,,,1
AEDL103522,6,0,1998,MAHENDER AGGARWAL,,Delhi,SAHIBABAD DAULATPUR,GEN,SP,,259,M,11,1,FALSE,FALSE,0.33,32,0.04,,,,1
AEDL103524,6,0,1998,ROHTASH SINGH,,Delhi,SAHIBABAD DAULATPUR,GEN,RJP,,145,M,13,1,FALSE,FALSE,0.18,44,0.06,,,,1
AEDL103526,6,0,1998,VINOD,,Delhi,SAHIBABAD DAULATPUR,GEN,RPI,,91,M,15,1,FALSE,FALSE,0.11,39,0.05,,,,1
AEDL103527,6,0,1998,TIKA RAM,,Delhi,SAHIBABAD DAULATPUR,GEN,BKMP,,52,M,16,1,FALSE,FALSE,0.07,20,0.03,,,,1
AEDL103530,6,0,1998,SURENDER KUMAR,,Delhi,BAWANA,SC,INC,,40241,M,1,1,FALSE,FALSE,59.18,25698,37.79,,,1,1
AEDL103532,6,0,1998,HEM CHANDER,,Delhi,BAWANA,SC,INLD,,8588,M,3,1,FALSE,FALSE,12.63,6306,9.27,,,,1
AEDL103533,6,0,1998,RAM PALAT GAUTAM,,Delhi,BAWANA,SC,BSP,,2282,M,4,1,FALSE,FALSE,3.36,1302,1.91,,,,1
AEDL103535,6,0,1998,RAM MILAN,,Delhi,BAWANA,SC,ABJC,,578,M,6,1,FALSE,FALSE,0.85,165,0.24,,,,1
AEDL103536,6,0,1998,NARESH KUMAR,,Delhi,BAWANA,SC,SP,,413,M,7,1,FALSE,FALSE,0.61,221,0.32,,,,1
AEDL103537,6,0,1998,RANI LAJWANTI,,Delhi,BAWANA,SC,SHS,,192,F,8,1,FALSE,FALSE,0.28,7,0.01,,,,1
AEDL103538,6,0,1998,BANWARI LAL,,Delhi,BAWANA,SC,MSP,,185,M,9,1,FALSE,FALSE,0.27,0,0,,,,1
AEDL103539,6,0,1998,SUSHILA DEVI,,Delhi,SULTANPUR MAJRA,SC,INC,,34194,F,1,1,FALSE,FALSE,56.79,16933,28.12,,,1,1
AEDL103540,6,0,1998,KAILASH,,Delhi,SULTANPUR MAJRA,SC,BJP,,17261,M,2,1,FALSE,FALSE,28.67,14176,23.55,,,,1
AEDL103541,6,0,1998,KIRAN DEVI,,Delhi,SULTANPUR MAJRA,SC,BSP,,3085,F,3,1,FALSE,FALSE,5.12,439,0.73,,,,1
AEDL103543,6,0,1998,RANBIR SINGH,,Delhi,SULTANPUR MAJRA,SC,JD,,1695,M,5,1,FALSE,FALSE,2.82,1279,2.12,,,,1
AEDL103545,6,0,1998,SHUBHASH,,Delhi,SULTANPUR MAJRA,SC,MSP,,389,M,7,1,FALSE,FALSE,0.65,67,0.11,,,,1
AEDL103546,6,0,1998,ASHA RANI,,Delhi,SULTANPUR MAJRA,SC,LS,,322,F,8,1,FALSE,FALSE,0.53,214,0.36,,,,1
AEDL103547,6,0,1998,VINOD,,Delhi,SULTANPUR MAJRA,SC,SHS,,108,M,9,1,FALSE,FALSE,0.18,16,0.03,,,,1
AEDL103548,6,0,1998,KALYANI,,Delhi,SULTANPUR MAJRA,SC,SHSP,,92,F,10,1,FALSE,FALSE,0.15,0,0,,,,1
AEDL103550,6,0,1998,LAKSHMI NARAYAN,,Delhi,MANGOLPURI,SC,BJP,,11358,M,2,1,FALSE,FALSE,21.33,4651,8.74,,,,1
AEDL103552,6,0,1998,SURAJ PAL,,Delhi,MANGOLPURI,SC,RJD,,1500,M,4,1,FALSE,FALSE,2.82,656,1.23,,,,1
AEDL103554,6,0,1998,SHYAM KALEE,,Delhi,MANGOLPURI,SC,CPI,,286,F,6,1,FALSE,FALSE,0.54,220,0.41,,,,1
AEDL103557,6,0,1998,RAJ KUMAR,,Delhi,MANGOLPURI,SC,LS,,45,M,9,1,FALSE,FALSE,0.08,0,0,,,,1
AEDL103558,6,0,1998,PREM CHAND,,Delhi,NANGLOI JAT,GEN,INC,,30533,M,1,1,FALSE,FALSE,49,2827,4.54,,,1,1
AEDL103560,6,0,1998,PANMESHWARI,,Delhi,NANGLOI JAT,GEN,SAP,,1149,F,3,1,FALSE,FALSE,1.84,467,0.75,,,,1
AEDL103561,6,0,1998,ARVIND KATARIA,,Delhi,NANGLOI JAT,GEN,BSP,,682,M,4,1,FALSE,FALSE,1.09,122,0.2,,,,1
AEDL103562,6,0,1998,JAI PARKASH,,Delhi,NANGLOI JAT,GEN,JD,,560,M,5,1,FALSE,FALSE,0.9,153,0.25,,,,1
AEDL103565,6,0,1998,GANGA RAM,,Delhi,NANGLOI JAT,GEN,BCVD,,258,M,8,1,FALSE,FALSE,0.41,63,0.1,,,,1
AEDL103573,6,0,1998,DHANWANT SINGH,,Delhi,VISHNU GARDEN,GEN,BJP,,9763,M,3,1,FALSE,FALSE,18.26,7874,14.73,,,,1
AEDL103575,6,0,1998,PRITPAL SINGH PALI,,Delhi,VISHNU GARDEN,GEN,SAD(M),,1393,M,5,1,FALSE,FALSE,2.61,798,1.49,,,,1
AEDL103577,6,0,1998,RAJ KUMAR,,Delhi,VISHNU GARDEN,GEN,SHS,,265,M,7,1,FALSE,FALSE,0.5,62,0.12,,,,1
AEDL103578,6,0,1998,AVTAR SINGH,,Delhi,VISHNU GARDEN,GEN,SP,,203,M,8,1,FALSE,FALSE,0.38,74,0.14,,,,1
AEDL103587,6,0,1998,NARESH TYAGI,,Delhi,HASTSAL,GEN,BJP,,24858,M,2,1,FALSE,FALSE,27.26,10852,11.9,,,,1
AEDL103588,6,0,1998,KARAN YADAV,,Delhi,HASTSAL,GEN,SAP,,14006,M,3,1,FALSE,FALSE,15.36,11148,12.22,,,,1
AEDL103589,6,0,1998,RAJ BHARTI,,Delhi,HASTSAL,GEN,BSP,,2858,F,4,1,FALSE,FALSE,3.13,2512,2.75,,,,1
AEDL103591,6,0,1998,HAMID ALI,,Delhi,HASTSAL,GEN,SP,,309,M,6,1,FALSE,FALSE,0.34,139,0.15,,,,1
AEDL103592,6,0,1998,R.A.YADAV,,Delhi,HASTSAL,GEN,JD,,170,M,7,1,FALSE,FALSE,0.19,16,0.02,,,,1
AEDL103593,6,0,1998,ASHOK KUMAR,,Delhi,HASTSAL,GEN,SHS,,154,M,8,1,FALSE,FALSE,0.17,37,0.04,,,,1
AEDL103594,6,0,1998,GIRJA SHANKAR SINGH,,Delhi,HASTSAL,GEN,SJP(R),,117,M,9,1,FALSE,FALSE,0.13,44,0.05,,,,1
AEDL103600,6,0,1998,KANWAL SINGH,,Delhi,NAJAFGARH,GEN,INC,,21111,M,1,1,FALSE,FALSE,28.02,1827,2.43,,,1,1
AEDL103602,6,0,1998,PRITAM SINGH,,Delhi,NAJAFGARH,GEN,INLD,,15382,M,3,1,FALSE,FALSE,20.42,9138,12.13,,,,1
AEDL103603,6,0,1998,JAGBIR,,Delhi,NAJAFGARH,GEN,RJD,,6244,M,4,1,FALSE,FALSE,8.29,264,0.35,,,,1
AEDL103606,6,0,1998,RAMESHWER SINGH,,Delhi,NAJAFGARH,GEN,BSP,,2142,M,7,1,FALSE,FALSE,2.84,1267,1.68,,,,1
AEDL103607,6,0,1998,VIJAY PAL,,Delhi,NAJAFGARH,GEN,JD,,875,M,8,1,FALSE,FALSE,1.16,410,0.54,,,,1
AEDL103610,6,0,1998,SAMEER SINGH,,Delhi,NAJAFGARH,GEN,SP,,165,M,11,1,FALSE,FALSE,0.22,55,0.07,,,,1
AEDL103616,6,0,1998,AHIBARAN KUMAR,,Delhi,NASIRPUR,GEN,BSP,,1860,M,3,1,FALSE,FALSE,2.38,1153,1.47,,,,1
AEDL103617,6,0,1998,BRIJ KISHOR SINGH,,Delhi,NASIRPUR,GEN,SAP,,707,M,4,1,FALSE,FALSE,0.9,467,0.6,,,,1
AEDL103618,6,0,1998,RAGHUNANDAN PASWAN,,Delhi,NASIRPUR,GEN,RJD,,240,M,5,1,FALSE,FALSE,0.31,111,0.14,,,,1
AEDL103619,6,0,1998,T.S. CHAUHAN,,Delhi,NASIRPUR,GEN,SHS,,129,M,6,1,FALSE,FALSE,0.16,25,0.03,,,,1
AEDL103620,6,0,1998,NARESH,,Delhi,NASIRPUR,GEN,LS,,104,M,7,1,FALSE,FALSE,0.13,13,0.02,,,,1
AEDL103622,6,0,1998,PARSURAM MISRA,,Delhi,NASIRPUR,GEN,NDPF,,73,M,9,1,FALSE,FALSE,0.09,15,0.02,,,,1
AEDL103625,6,0,1998,BHAGWAN DEVI,,Delhi,NASIRPUR,GEN,RAM,,51,F,12,1,FALSE,FALSE,0.07,3,0,,,,1
AEDL103661,6,0,1998,MAHENDER YADAV,,Delhi,PALAM,GEN,INC,,32699,M,1,1,FALSE,FALSE,48.62,5547,8.25,,,1,1
AEDL103664,6,0,1998,SARNAM SINGH PAL,,Delhi,PALAM,GEN,BSP,,1889,M,4,1,FALSE,FALSE,2.81,20,0.03,,,,1
AEDL103665,6,0,1998,MAHENDER YADAV,,Delhi,PALAM,GEN,RJD,,1869,M,5,1,FALSE,FALSE,2.78,1040,1.55,,,,1
AEDL103667,6,0,1998,SHIVAN BANSAL,,Delhi,PALAM,GEN,JD,,473,M,7,1,FALSE,FALSE,0.7,347,0.52,,,,1
AEDL103670,6,0,1998,MAHENDER SINGH,,Delhi,MAHIPALPUR,GEN,INC,,31818,M,1,1,FALSE,FALSE,51.92,16834,27.47,,,1,1
AEDL103671,6,0,1998,SURAT SINGH,,Delhi,MAHIPALPUR,GEN,INLD,,14984,M,2,1,FALSE,FALSE,24.45,6708,10.95,,,,1
AEDL103673,6,0,1998,INDER MALIK,,Delhi,MAHIPALPUR,GEN,BSP,,4748,M,4,1,FALSE,FALSE,7.75,4125,6.73,,,,1
AEDL103674,6,0,1998,RAM MEHAR,,Delhi,MAHIPALPUR,GEN,SJP(R),,623,M,5,1,FALSE,FALSE,1.02,195,0.32,,,,1
AEDL103675,6,0,1998,JAWAR SINGH,,Delhi,MAHIPALPUR,GEN,JD,,428,M,6,1,FALSE,FALSE,0.7,244,0.4,,,,1
AEDL103676,6,0,1998,GIRISH,,Delhi,MAHIPALPUR,GEN,RAM,,184,M,7,1,FALSE,FALSE,0.3,105,0.17,,,,1
AEDL103677,6,0,1998,HEERA LAL,,Delhi,MAHIPALPUR,GEN,ABJC,,79,M,8,1,FALSE,FALSE,0.13,7,0.01,,,,1
AEDL103678,6,0,1998,NARENDER KAUSHIK,,Delhi,MAHIPALPUR,GEN,BD,,72,M,9,1,FALSE,FALSE,0.12,4,0.01,,,,1
AEDL103682,6,0,1998,VIJAY DEEP,,Delhi,MEHRAULI,GEN,INC,,17427,M,3,1,FALSE,FALSE,26.1,16947,25.38,,,,1
AEDL103684,6,0,1998,RANJEET,,Delhi,MEHRAULI,GEN,JD,,385,M,5,1,FALSE,FALSE,0.58,61,0.09,,,,1
AEDL103685,6,0,1998,ROBERT MASSEY,,Delhi,MEHRAULI,GEN,UCP,,324,M,6,1,FALSE,FALSE,0.49,73,0.11,,,,1
AEDL103686,6,0,1998,OM PRAKASH,,Delhi,MEHRAULI,GEN,BSP,,251,M,7,1,FALSE,FALSE,0.38,82,0.12,,,,1
AEDL103687,6,0,1998,GURDEV SINGH,,Delhi,MEHRAULI,GEN,LSWP,,169,M,8,1,FALSE,FALSE,0.25,33,0.05,,,,1
AEDL103690,6,0,1998,NANAK CHAND,,Delhi,MEHRAULI,GEN,SJP(R),,79,M,11,1,FALSE,FALSE,0.12,0,0,,,,1
AEDL103691,6,0,1998,TEK CHAND SHARMA,,Delhi,SAKET,GEN,INC,,24903,M,1,1,FALSE,FALSE,40.68,7174,11.72,,,1,1
AEDL103692,6,0,1998,VIJAY JOLLY,,Delhi,SAKET,GEN,BJP,,17729,M,2,1,FALSE,FALSE,28.96,8303,13.56,,,,1
AEDL103694,6,0,1998,CHHOTEY LAL CHANDRA,,Delhi,SAKET,GEN,BSP,,3073,M,4,1,FALSE,FALSE,5.02,90,0.15,,,,1
AEDL103695,6,0,1998,NARJIT SINGH YADAV,,Delhi,SAKET,GEN,RJD,,2983,M,5,1,FALSE,FALSE,4.87,1777,2.9,,,,1
AEDL103696,6,0,1998,SHANKAR DUTT PANDEY,,Delhi,SAKET,GEN,UKKD,,1206,M,6,1,FALSE,FALSE,1.97,364,0.59,,,,1
AEDL103698,6,0,1998,PREAM KOSHIK,,Delhi,SAKET,GEN,LD,,506,M,8,1,FALSE,FALSE,0.83,179,0.29,,,,1
AEDL103700,6,0,1998,RAJ PAL SINGH NAGAR,,Delhi,SAKET,GEN,SHS,,140,M,10,1,FALSE,FALSE,0.23,92,0.15,,,,1
AEDL103702,6,0,1998,DR. AFAQ PARVEEN,,Delhi,SAKET,GEN,LSWP,,33,F,12,1,FALSE,FALSE,0.05,0,0,,,,1
AEDL103703,6,0,1998,CH. PREM SINGH,,Delhi,DR. AMBEDKAR NAGAR,SC,INC,,27670,M,1,1,FALSE,FALSE,52.93,18008,34.45,,,1,1
AEDL103704,6,0,1998,JAGDISH BHARTI,,Delhi,DR. AMBEDKAR NAGAR,SC,BJP,,9662,M,2,1,FALSE,FALSE,18.48,6048,11.57,,,,1
AEDL103706,6,0,1998,SEVA DAS,,Delhi,DR. AMBEDKAR NAGAR,SC,BSP,,3330,M,4,1,FALSE,FALSE,6.37,1145,2.19,,,,1
AEDL103708,6,0,1998,DALIP KUMAR,,Delhi,DR. AMBEDKAR NAGAR,SC,JD,,2031,M,6,1,FALSE,FALSE,3.89,117,0.22,,,,1
AEDL103720,6,0,1998,GAJ RAJ SINGH,,Delhi,TUGLAKABAD,GEN,JD,,587,M,7,1,FALSE,FALSE,0.74,226,0.28,,,,1
AEDL103722,6,0,1998,VICKI KHAN,,Delhi,TUGLAKABAD,GEN,JSMP,,257,M,9,1,FALSE,FALSE,0.32,63,0.08,,,,1
AEDL103724,6,0,1998,GOPAL JHA,,Delhi,TUGLAKABAD,GEN,AIRJP,,168,M,11,1,FALSE,FALSE,0.21,78,0.1,,,,1
AEDL103727,6,0,1998,MAHESH JOSHI,,Delhi,TUGLAKABAD,GEN,SJP(R),,73,M,14,1,FALSE,FALSE,0.09,20,0.03,,,,1
AEDL103728,6,0,1998,KULWANT SINGH,,Delhi,TUGLAKABAD,GEN,SHS,,53,M,15,1,FALSE,FALSE,0.07,8,0.01,,,,1
