pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100931,6,0,1985,DHUMAL RAMDAS VISHWANATH,,Maharashtra,RAHURI,GEN,ICS,,23661,M,2,1,FALSE,FALSE,27.42,9610,11.14,,,,1
AEMH101470,6,0,1985,GAIKWAD SANJAYSINH JAYSINGRAO,,Maharashtra,SHAHUWADI,GEN,IND,,44771,M,1,1,FALSE,FALSE,51.3,4300,4.93,,,1,1
AEMH101526,4,0,1978,KHANVILKAR DIGVIJAYA BHAUSAHEB,,Maharashtra,KARVIR,GEN,INC(I),,12479,M,4,3,FALSE,FALSE,15.53,11349,14.13,,,2,3
AEMH101526,5,0,1980,KHANVIKAR DIGVIJAY BHAUSAHEB,,Maharashtra,KARVIR,GEN,INC(I),INC(I),33346,M,1,3,FALSE,FALSE,46.8,2999,4.21,,,2,3
AEMH101526,6,0,1985,DIGVIJAY BHAUSO KHANVILKAR,,Maharashtra,KARVIR,GEN,INC,INC(I),46531,M,1,3,FALSE,TRUE,54.38,15772,18.43,,,2,3
AEMH101627,5,0,1980,SHANTARAM SHIVARAM PHILSE,,Maharashtra,MAHAD,GEN,IND,,11658,M,3,2,FALSE,FALSE,20.3,5916,10.3,,,1,2
AEMH101627,6,0,1985,SHANTARAM PHILSE,,Maharashtra,MAHAD,GEN,JNP,IND,32040,M,1,2,FALSE,FALSE,44.48,649,0.9,,,1,2
AEMH101787,4,0,1978,NANAWARE VASANT PANDURANG,,Maharashtra,WORLI,GEN,INC(I),,12786,M,2,2,FALSE,FALSE,17.97,2093,2.94,,,,2
AEMH101787,6,0,1985,VASANT PANDURANG NANAWARE,,Maharashtra,WORLI,GEN,INC,INC(I),20892,M,2,2,FALSE,FALSE,34.32,11535,18.95,,,,2
AEMH101837,6,0,1985,RAMESH MEDHEKAR,,Maharashtra,DADAR,GEN,BJP,,10398,M,4,1,FALSE,FALSE,15.71,4604,6.96,,,,1
AEMH101839,6,0,1985,VASANT MORE,,Maharashtra,DHARAVI,SC,ICS,,24223,M,2,1,FALSE,FALSE,32.82,19611,26.57,,,,1
AEMH102288,6,0,1985,KASLIWAL JAYACHAND DEEPCHAND,,Maharashtra,CHANDWAD,GEN,BJP,,29659,M,1,1,FALSE,FALSE,47.14,6038,9.6,,,1,1
AEMH102398,6,0,1985,SHALINI SUDHAKAR BORASE,,Maharashtra,DHULE,GEN,INC,,28562,F,1,1,FALSE,FALSE,40.61,8034,11.42,,,1,1
AEMH102434,5,0,1980,CHANGRE VASUDEORAO APURAM,,Maharashtra,CHALISGAON,SC,INC(I),,24405,M,2,2,FALSE,FALSE,43.34,23553,41.82,,,1,2
AEMH102434,6,0,1985,CHANGARE VASUDEVRAO APURAM,,Maharashtra,CHALISGAON,SC,ICS,INC(I),33622,M,1,2,TRUE,FALSE,53.84,5619,9,,,1,2
AEMH102568,6,0,1985,JAWARE HARIBHAU DAGADU,,Maharashtra,EDLABAD,GEN,ICS,,41546,M,1,1,FALSE,FALSE,51.49,6583,8.16,,,1,1
AEMH102716,6,0,1985,DHOTRE VASANTRAO RAMRAO,,Maharashtra,BORGAON MANJU,GEN,INC,,42094,M,1,1,FALSE,FALSE,50.28,21608,25.81,,,1,1
AEMH102842,6,0,1985,DHOTRE SAHEBRAO DEORAO,,Maharashtra,MURTAJAPUR,GEN,BJP,,18606,M,2,1,FALSE,FALSE,26.45,1943,2.76,,,,1
AEMH103475,6,0,1985,SHRUNGARPAWAR VILAS VISHWANATH,,Maharashtra,ADYAR,GEN,INC,,34455,M,1,1,FALSE,FALSE,41.55,13619,16.42,,,1,1
AEMH103684,6,0,1985,FADNAVIS SHOBHATAI MADHARAO,,Maharashtra,SAOLI,GEN,BJP,,26933,F,2,1,FALSE,FALSE,33.8,19569,24.56,,,,1
AEMH104158,6,0,1985,ANKUSH BHALEKAR,,Maharashtra,AMBAD,GEN,JNP,,21850,M,2,1,FALSE,FALSE,33.53,14742,22.63,,,,1
AEMH104421,6,0,1985,TUPE JANARDHAN TATYABA,,Maharashtra,CHAUSALA,GEN,PWP,,17709,M,3,1,FALSE,FALSE,25.26,12086,17.24,,,,1
AEMH104725,6,0,1985,PATIL PANDURANG GANPAT,,Maharashtra,MADHA,GEN,IND,,38760,M,1,1,FALSE,FALSE,45.78,8870,10.48,,,1,1
AEMH104869,5,0,1980,NANDAKUMAR BHAUSAHEB ZAWARE,,Maharashtra,PARNER,GEN,INC(I),,9220,M,4,2,FALSE,FALSE,16.7,6618,11.99,,,1,2
AEMH104869,6,0,1985,ZAWARE NANDKUMAR BAHUSAHEB,,Maharashtra,PARNER,GEN,INC,INC(I),21155,M,1,2,FALSE,FALSE,34.05,957,1.54,,,1,2
AEMH104996,5,0,1980,GANGURDE VISHWAS KRISHNARAO,,Maharashtra,PARVATI,SC,BJP,,22880,M,2,2,FALSE,FALSE,32.84,14371,20.63,,,,2
AEMH104996,6,0,1985,VISHWAS KRISHNARAO GANGURDE,,Maharashtra,PARVATI,SC,BJP,BJP,34517,M,2,2,FALSE,FALSE,37.52,26790,29.12,,,,2
AEMH104998,6,0,1985,KAMBLE SADANAND BHIMRAO,,Maharashtra,BHAVANI PETH,GEN,RPI,,573,M,6,1,FALSE,FALSE,0.81,250,0.35,,,,1
AEMH105300,6,0,1985,PATIL ASHOKRAO SHANKARRAO,,Maharashtra,CHAUSALA,GEN,INC,,21967,M,1,1,FALSE,FALSE,31.33,2724,3.89,,,1,1
AEMH105367,6,0,1985,PUSHPASEN SAWANT,,Maharashtra,VENGURLA,GEN,JNP,,24766,M,1,1,FALSE,FALSE,40.34,3428,5.58,,,1,1
AEMH105368,6,0,1985,SHARAD PALAV,,Maharashtra,VENGURLA,GEN,INC,,21338,M,2,1,FALSE,FALSE,34.76,12602,20.53,,,,1
AEMH105376,6,0,1985,PRABHUGAOKAR BAPUSAHED,,Maharashtra,MALVAN,GEN,INC,,25598,M,1,1,FALSE,FALSE,47.47,3933,7.29,,,1,1
AEMH105377,6,0,1985,BABAN D'SOUZA,,Maharashtra,MALVAN,GEN,JNP,,21665,M,2,1,FALSE,FALSE,40.18,18494,34.3,,,,1
AEMH105384,6,0,1985,R. R. LOKE,,Maharashtra,DEVGAD,GEN,INC,,14085,M,2,1,FALSE,FALSE,25.39,4768,8.59,,,,1
AEMH105389,6,1,1986,C.P.MAJHI,,Maharashtra,RAIRANGPUR(ST),GEN,JNP,,22528,,1,1,FALSE,FALSE,42.7,3704,7.02,,,1,1
AEMH105390,6,1,1986,R.MAJI,,Maharashtra,RAIRANGPUR(ST),GEN,INC,,18824,,2,1,FALSE,FALSE,35.68,12477,23.65,,,,1
AEMH105392,6,1,1986,S.MURMU,,Maharashtra,RAIRANGPUR(ST),GEN,BJP,,2704,,4,1,FALSE,FALSE,5.13,1448,2.74,,,,1
AEMH105393,6,1,1986,B.K.MAJHI,,Maharashtra,RAIRANGPUR(ST),GEN,JOR,,1256,,5,1,FALSE,FALSE,2.38,521,0.99,,,,1
AEMH105395,6,1,1986,D.P.MARNDI,,Maharashtra,RAIRANGPUR(ST),GEN,FBL,,361,,7,1,FALSE,FALSE,0.68,0,0,,,,1
AEMH105397,6,0,1985,BHIKAJIRAO CHAVAN,,Maharashtra,RAJAPUR,GEN,JNP,,23977,M,2,1,FALSE,FALSE,38.1,20988,33.35,,,,1
AEMH105403,6,0,1985,GOTAD SIVAJI RAMCHANDRA,,Maharashtra,RATNAGIRI,GEN,BJP,,19252,M,2,1,FALSE,FALSE,31.63,14946,24.56,,,,1
AEMH105410,6,0,1985,MUSA ALLI MODAK,,Maharashtra,SANGAMESHWAR,GEN,INC,,27282,M,1,1,FALSE,FALSE,45.84,2163,3.63,,,1,1
AEMH105417,2,0,1967,M. S. KOSARKAR,,Maharashtra,GUHAGAR,GEN,INC,,18484,M,1,2,FALSE,FALSE,42.46,2870,6.59,,,1,2
AEMH105417,6,0,1985,M. S. KESARKAR,,Maharashtra,GUHAGAR,GEN,INC,INC,6051,M,3,2,FALSE,FALSE,9.35,1688,2.61,,,1,2
AEMH105421,6,0,1985,JOSHI NISHIKANI MADHAO,,Maharashtra,CHIPLUN,GEN,INC,,30300,M,1,1,FALSE,FALSE,52.9,18735,32.71,,,1,1
AEMH105423,6,0,1985,ABU DALVAI,,Maharashtra,CHIPLUN,GEN,JNP,,10026,M,3,1,FALSE,FALSE,17.5,5610,9.79,,,,1
AEMH105427,6,0,1985,T. B. KADAM,,Maharashtra,KHED,GEN,INC,,35655,M,1,1,FALSE,FALSE,55.77,14923,23.34,,,1,1
AEMH105430,6,0,1985,GAMBRE SHANKAR RAMJI,,Maharashtra,KHED,GEN,RPI,,2538,M,4,1,FALSE,FALSE,3.97,1187,1.86,,,,1
AEMH105431,6,0,1985,DATTATRAYA ANANTRAO BHOSALE,,Maharashtra,KHED,GEN,ICS,,1351,M,5,1,FALSE,FALSE,2.11,811,1.27,,,,1
AEMH105434,6,0,1985,CHANDRAKANT MOKAL,,Maharashtra,DAPOLI,GEN,INC,,22478,M,1,1,FALSE,FALSE,34.87,1683,2.61,,,1,1
AEMH105435,6,0,1985,G. D. SAKPAL,,Maharashtra,DAPOLI,GEN,JNP,,20795,M,2,1,FALSE,FALSE,32.26,6491,10.07,,,,1
AEMH105441,6,0,1985,SUDHAKAR SHANKAR SAWANT,,Maharashtra,MAHAD,GEN,INC,,31391,M,2,1,FALSE,FALSE,43.58,27603,38.32,,,,1
AEMH105447,6,0,1985,KATKAR GANPAT SAKHARAM,,Maharashtra,SHRIWARDHAN,GEN,JNP,,14984,M,2,1,FALSE,FALSE,20.54,3643,4.99,,,,1
AEMH105448,6,0,1985,BHAI DANDEKAR,,Maharashtra,SHRIWARDHAN,GEN,INC,,11341,M,3,1,FALSE,FALSE,15.55,11188,15.34,,,,1
AEMH105450,6,0,1985,NILKANTH JANARDHAN SAWANT,,Maharashtra,MANGAON,GEN,PWP,,33445,M,1,1,FALSE,FALSE,49.26,5432,8,,,1,1
AEMH105451,6,0,1985,SUNIL DATTATRAY TATKARE,,Maharashtra,MANGAON,GEN,INC,,28013,M,2,1,FALSE,FALSE,41.26,24302,35.8,,,,1
AEMH105455,6,0,1985,MOHAN PATIL,,Maharashtra,PEN,GEN,PWP,,40347,M,1,1,FALSE,FALSE,55.49,9834,13.52,,,1,1
AEMH105456,6,0,1985,NAMDEO YESO KHAIRE,,Maharashtra,PEN,GEN,INC,,30513,M,2,1,FALSE,FALSE,41.96,29549,40.64,,,,1
AEMH105462,6,0,1985,A. G. (RAVI) PATIL,,Maharashtra,ALIBAG,GEN,INC,,22116,M,2,1,FALSE,FALSE,28.92,0,0,,,,1
AEMH105472,6,0,1985,AFTAB SHAIKH MAHAMAD,,Maharashtra,KHALAPUR,GEN,INC,,17955,M,2,1,FALSE,FALSE,26.67,3540,5.26,,,,1
AEMH105481,6,0,1985,WAGHAMARE SURESH NAVAJI,,Maharashtra,KHALAPUR,GEN,RPK,,375,M,11,1,FALSE,FALSE,0.56,167,0.25,,,,1
AEMH105484,6,0,1985,PATRAWALA MAPAZBAN JAL,,Maharashtra,COLABA,GEN,INC,,20836,M,1,1,FALSE,FALSE,60.58,10347,30.08,,,1,1
AEMH105485,6,0,1985,SHARAD RAO,,Maharashtra,COLABA,GEN,JNP,,10489,M,2,1,FALSE,FALSE,30.5,7670,22.3,,,,1
AEMH105489,6,0,1985,CHANDRIKA P. KENIA,,Maharashtra,UMARKHADI,GEN,INC,,18176,F,1,1,FALSE,FALSE,44.75,5932,14.61,,,1,1
AEMH105491,6,0,1985,CHIMBULKAR RAJARAM KRISHNA,,Maharashtra,UMARKHADI,GEN,JNP,,7644,M,3,1,FALSE,FALSE,18.82,5793,14.26,,,,1
AEMH105493,6,0,1985,SAYYAD LALAN,,Maharashtra,UMARKHADI,GEN,LKD,,253,M,5,1,FALSE,FALSE,0.62,24,0.06,,,,1
AEMH105498,6,0,1985,NANUBHAI C. PATEL,,Maharashtra,MUMBADEVI,GEN,BJP,,12676,M,2,1,FALSE,FALSE,34.35,11559,31.33,,,,1
AEMH105503,6,0,1985,QURESHI M. ISMAIL,,Maharashtra,KHETWADI,GEN,INC,,19267,M,2,1,FALSE,FALSE,41.8,12305,26.7,,,,1
AEMH105509,6,0,1985,CHANDRASHEKHAR PRABHU,,Maharashtra,OPERA HOUSE,GEN,INC,,22934,M,1,1,FALSE,FALSE,45.98,9084,18.21,,,1,1
AEMH105516,6,0,1985,B. A. DESAI,,Maharashtra,MALBAR HILL,GEN,INC,,33574,M,1,1,FALSE,FALSE,66.16,17702,34.88,,,1,1
AEMH105517,6,0,1985,BANE MANOHAR V.,,Maharashtra,MALBAR HILL,GEN,ICS,,15872,M,2,1,FALSE,FALSE,31.28,15390,30.33,,,,1
AEMH105518,6,0,1985,RADHEYSHYAM HUBLAL YADAV,,Maharashtra,MALBAR HILL,GEN,LKD,,482,M,3,1,FALSE,FALSE,0.95,105,0.21,,,,1
AEMH105522,6,0,1985,ANNASAHEB ALIAS B. D. ZUTE,,Maharashtra,CHINCHPOKLI,GEN,INC,,21086,M,1,1,FALSE,FALSE,43.27,9138,18.75,,,1,1
AEMH105524,6,0,1985,PHANSEKAR GOVINDRAO LAXAM,,Maharashtra,CHINCHPOKLI,GEN,ICS,,8685,M,3,1,FALSE,FALSE,17.82,4785,9.82,,,,1
AEMH105526,6,0,1985,VIJAY GULABRAO GANACHARYA,,Maharashtra,CHINCHPOKLI,GEN,CPI,,1700,M,5,1,FALSE,FALSE,3.49,944,1.94,,,,1
AEMH105529,6,0,1985,RAVINDRA SUKHDEO VAIRAL,,Maharashtra,CHINCHPOKLI,GEN,LKD,,204,M,8,1,FALSE,FALSE,0.42,28,0.06,,,,1
AEMH105537,6,0,1985,SAYED ALI AHMED,,Maharashtra,NAGPADA,GEN,LKD,,215,M,7,1,FALSE,FALSE,0.52,38,0.09,,,,1
AEMH105542,6,0,1985,CHHAGAN BHUJBAL,,Maharashtra,MAZGAON,GEN,IND,,18510,M,1,1,FALSE,FALSE,29.64,1203,1.93,,,1,1
AEMH105545,5,0,1980,CHANDRAKANT NARAYAN JAGTAP,,Maharashtra,MAZGAON,GEN,BJP,,10539,M,2,2,FALSE,FALSE,23.56,2184,4.88,,,,2
AEMH105545,6,0,1985,CHANDRAKANT NARAYAN JAGTAP,,Maharashtra,MAZGAON,GEN,BJP,BJP,9869,M,4,2,FALSE,FALSE,15.8,9522,15.25,,,,2
AEMH105548,6,0,1985,SHARAD KHATU,,Maharashtra,PAREL,GEN,IND,,22613,M,1,1,FALSE,FALSE,29.65,4120,5.4,,,1,1
AEMH105549,6,0,1985,JAGANNATHRAO HEGDE,,Maharashtra,PAREL,GEN,INC,,18493,M,2,1,FALSE,FALSE,24.25,784,1.03,,,,1
AEMH105551,6,0,1985,LAXMAN JADHAB,,Maharashtra,PAREL,GEN,JNP,,11904,M,4,1,FALSE,FALSE,15.61,6991,9.17,,,,1
AEMH105552,6,0,1985,BABURAO SHANKAR SHELAR,,Maharashtra,PAREL,GEN,CPI,,4913,M,5,1,FALSE,FALSE,6.44,4408,5.78,,,,1
AEMH105555,6,0,1985,DADU SANTU ATYALKAR,,Maharashtra,SHIVADI,GEN,IND,,22578,M,1,1,FALSE,FALSE,31.02,1105,1.52,,,1,1
AEMH105556,6,0,1985,DESHPANDE SUDHAKAR HANUMANRAO,,Maharashtra,SHIVADI,GEN,INC,,21473,M,2,1,FALSE,FALSE,29.5,8355,11.48,,,,1
AEMH105558,6,0,1985,C. R. PINTO,,Maharashtra,SHIVADI,GEN,JNP,,7771,M,4,1,FALSE,FALSE,10.68,4907,6.74,,,,1
AEMH105560,2,0,1967,R. G. KHARAT,,Maharashtra,MAZGAON,GEN,RPI,,10734,M,2,3,FALSE,FALSE,23.03,1076,2.31,,,,3
AEMH105560,4,0,1978,R.G. KHARAT,,Maharashtra,TROMBAY,GEN,RPI,RPI,5192,M,4,3,FALSE,FALSE,6.4,88,0.11,,,,3
AEMH105560,6,0,1985,R. G. KHARAT,,Maharashtra,SHIVADI,GEN,RPI,RPI,2241,M,6,3,FALSE,FALSE,3.08,1507,2.07,,,,3
AEMH105568,6,0,1985,VINITA DATTA SAMANT,,Maharashtra,WORLI,GEN,IND,,27412,F,1,1,FALSE,FALSE,45.03,6520,10.71,,,1,1
AEMH105570,6,0,1985,DATTA RANE,,Maharashtra,WORLI,GEN,BJP,,9357,M,3,1,FALSE,FALSE,15.37,8063,13.24,,,,1
AEMH105577,6,0,1985,ANGRE VISHNU,,Maharashtra,NAIGAUM,GEN,JNP,,14049,M,2,1,FALSE,FALSE,19.94,1349,1.91,,,,1
AEMH105587,6,0,1985,SHARAYU G. THAKOOR,,Maharashtra,DADAR,GEN,INC,,18134,F,1,1,FALSE,FALSE,27.39,3262,4.93,,,1,1
AEMH105591,6,0,1985,COMJAIWANT PATIL,,Maharashtra,DADAR,GEN,CPI,,5794,M,5,1,FALSE,FALSE,8.75,5100,7.7,,,,1
AEMH105594,6,0,1985,APPA RAO,,Maharashtra,DADAR,GEN,LKD,,341,M,8,1,FALSE,FALSE,0.52,62,0.09,,,,1
AEMH105609,6,0,1985,SHAM SHETTY,,Maharashtra,MAHIM,GEN,INC,,23416,M,1,1,FALSE,FALSE,39.08,2417,4.03,,,1,1
AEMH105612,6,0,1985,DOSSANI ABDUL RAZZAK MOHD. ISHAQUE,,Maharashtra,MAHIM,GEN,LKD,,520,M,4,1,FALSE,FALSE,0.87,145,0.24,,,,1
AEMH105623,6,0,1985,QURESHI SHAMIM RASHID,,Maharashtra,VANDRE,GEN,INC,,30293,M,1,1,FALSE,FALSE,58.56,12208,23.6,,,1,1
AEMH105624,6,0,1985,SUDHA VARDE,,Maharashtra,VANDRE,GEN,JNP,,18085,F,2,1,FALSE,FALSE,34.96,17035,32.93,,,,1
AEMH105633,6,0,1985,CHANDURKAR JANARDAN,,Maharashtra,KHERWADI,GEN,INC,,24063,M,1,1,FALSE,FALSE,34.21,4928,7.01,,,1,1
AEMH105642,6,0,1985,MOHAMMAD ABDUL KHALIQE,,Maharashtra,KHERWADI,GEN,LKD,,108,M,10,1,FALSE,FALSE,0.15,2,0,,,,1
AEMH105646,6,0,1985,HANS BHUGRA,,Maharashtra,VILEPARLE,GEN,INC,,27500,M,1,1,FALSE,FALSE,49.7,2269,4.1,,,1,1
AEMH105653,6,1,1987,R.Y.PRABHOO,,Maharashtra,VILE PARLE,GEN,ID,,29574,,1,1,FALSE,FALSE,46.45,10791,16.95,,,1,1
AEMH105654,6,1,1987,P.KUNTE,,Maharashtra,VILE PARLE,GEN,INC,,18783,,2,1,FALSE,FALSE,29.5,4855,7.63,,,,1
AEMH105655,6,1,1987,Y.PRANLAL,,Maharashtra,VILE PARLE,GEN,JNP,,13928,,3,1,FALSE,FALSE,21.88,13454,21.13,,,,1
AEMH105667,6,0,1985,BALDEV KHOSA,,Maharashtra,AMBOLI,GEN,INC,,39797,M,1,1,FALSE,FALSE,50.04,21853,27.48,,,1,1
AEMH105668,6,0,1985,PADMANABHA ACHARYA,,Maharashtra,AMBOLI,GEN,BJP,,17944,M,2,1,FALSE,FALSE,22.56,2951,3.71,,,,1
AEMH105670,6,0,1985,PANDHARI YADAV,,Maharashtra,AMBOLI,GEN,LKD,,2618,M,4,1,FALSE,FALSE,3.29,565,0.71,,,,1
AEMH105671,5,0,1980,DESHMUKH SHIWAJI BABURAO,,Maharashtra,ANDHERI,GEN,CPI,,1288,M,4,2,FALSE,FALSE,2.81,96,0.21,,,,2
AEMH105671,6,0,1985,DESHMUKH SHIVAJI BABURAO,,Maharashtra,AMBOLI,GEN,CPI,CPI,2053,M,5,2,FALSE,FALSE,2.58,1345,1.69,,,,2
AEMH105680,6,0,1985,ABHIRAM SINGH,,Maharashtra,SANTACRUZ,GEN,BJP,,17497,M,2,1,FALSE,FALSE,23.39,8364,11.18,,,,1
AEMH105688,6,0,1985,RAMESH DUBE,,Maharashtra,ANDHERI,GEN,INC,,47346,M,1,1,FALSE,FALSE,53.54,28333,32.04,,,1,1
AEMH105689,6,0,1985,M. P. VASHI,,Maharashtra,ANDHERI,GEN,JNP,,19013,M,2,1,FALSE,FALSE,21.5,11068,12.52,,,,1
AEMH105692,6,0,1985,VASANTRAO BABURAO SHINDE,,Maharashtra,ANDHERI,GEN,LKD,,3812,M,5,1,FALSE,FALSE,4.31,2752,3.11,,,,1
AEMH105702,6,0,1985,CHANDRANATH MATADIN SHARMA,,Maharashtra,GOREGAON,GEN,INC,,27169,M,2,1,FALSE,FALSE,36.64,20495,27.64,,,,1
AEMH105704,6,0,1985,JASWANT SINGH BRIJARAJ SINGH,,Maharashtra,GOREGAON,GEN,LKD,,1351,M,4,1,FALSE,FALSE,1.82,839,1.13,,,,1
AEMH105711,6,0,1985,DATTA (D. N.) CHAULKAR,,Maharashtra,MALAD,GEN,INC,,46565,M,1,1,FALSE,FALSE,43.7,24345,22.85,,,1,1
AEMH105712,6,0,1985,PREMNATH SEHGAL,,Maharashtra,MALAD,GEN,BJP,,22220,M,2,1,FALSE,FALSE,20.85,3122,2.93,,,,1
AEMH105715,6,0,1985,SINGH HANSRAJ TILAKDHARI,,Maharashtra,MALAD,GEN,LKD,,4389,M,5,1,FALSE,FALSE,4.12,423,0.4,,,,1
AEMH105726,6,0,1985,CHANDRAKANT GOSALIA,,Maharashtra,KANDIVALI,GEN,INC,,39662,M,1,1,FALSE,FALSE,51.71,15669,20.43,,,1,1
AEMH105727,4,0,1978,UPADHYAYA HASMUKHBHAI VASANTRAY,,Maharashtra,KANDIVALI,GEN,JNP,,52446,M,1,2,FALSE,FALSE,77.52,38881,57.47,,,1,2
AEMH105727,6,0,1985,HANSMUKH VASANTRAI UPADHYAY,,Maharashtra,KANDIVALI,GEN,JNP,JNP,23993,M,2,2,FALSE,FALSE,31.28,17798,23.2,,,1,2
AEMH105730,6,0,1985,LALAI RAMDEO YADAV,,Maharashtra,KANDIVALI,GEN,LKD,,1641,M,5,1,FALSE,FALSE,2.14,1260,1.64,,,,1
AEMH105734,6,0,1985,NAVNIT GANDHI,,Maharashtra,BORIVALI,GEN,INC,,37454,M,2,1,FALSE,FALSE,32.19,20443,17.57,,,,1
AEMH105736,6,0,1985,BILGU YADAV,,Maharashtra,BORIVALI,GEN,LKD,,944,M,4,1,FALSE,FALSE,0.81,342,0.29,,,,1
AEMH105740,6,0,1985,JAVED KHAN,,Maharashtra,TROMBAY,GEN,INC,,38965,M,1,1,FALSE,FALSE,38.12,16499,16.14,,,1,1
AEMH105741,6,0,1985,MUJUMDAR SAURABH RAMAKANT,,Maharashtra,TROMBAY,GEN,BJP,,22466,M,2,1,FALSE,FALSE,21.98,7006,6.85,,,,1
AEMH105749,6,0,1985,BIPIN SANGAR,,Maharashtra,TROMBAY,GEN,LKD,,344,M,10,1,FALSE,FALSE,0.34,53,0.05,,,,1
AEMH105755,6,0,1985,PARIHAR PARVATI LAXMNARAIN,,Maharashtra,CHEMBUR,GEN,INC,,35115,F,1,1,FALSE,FALSE,43.68,7586,9.44,,,1,1
AEMH105756,6,0,1985,ADVANI HASHU,,Maharashtra,CHEMBUR,GEN,BJP,,27529,M,2,1,FALSE,FALSE,34.24,15097,18.78,,,,1
AEMH105759,6,0,1985,KADAM B. S.,,Maharashtra,CHEMBUR,GEN,RPI,,908,M,5,1,FALSE,FALSE,1.13,39,0.05,,,,1
AEMH105764,6,0,1985,JAI PRAKASH SINGH,,Maharashtra,CHEMBUR,GEN,LKD,,153,M,10,1,FALSE,FALSE,0.19,44,0.05,,,,1
AEMH105767,6,0,1985,KAKA THORAT,,Maharashtra,NEHRUNAGAR,GEN,INC,,26460,M,1,1,FALSE,FALSE,37.36,11785,16.64,,,1,1
AEMH105768,6,0,1985,EKNATH KOPARDE,,Maharashtra,NEHRUNAGAR,GEN,JNP,,14675,M,2,1,FALSE,FALSE,20.72,4062,5.73,,,,1
AEMH105774,6,0,1985,KHAN MOHD YASIN,,Maharashtra,NEHRUNAGAR,GEN,LKD,,702,M,8,1,FALSE,FALSE,0.99,449,0.63,,,,1
AEMH105776,6,0,1985,D'SILVA SELIN,,Maharashtra,KURLA,GEN,INC,,41472,F,1,1,FALSE,FALSE,38.99,23250,21.86,,,1,1
AEMH105778,6,0,1985,SHIWAJI NALAWADE,,Maharashtra,KURLA,GEN,ICS,,14136,M,3,1,FALSE,FALSE,13.29,2199,2.07,,,,1
AEMH105782,6,0,1985,KHAN SUBHAN BHARTI,,Maharashtra,KURLA,GEN,LKD,,1834,M,7,1,FALSE,FALSE,1.72,662,0.62,,,,1
AEMH105784,6,0,1985,GULABRAO LONDHI,,Maharashtra,KURLA,GEN,RPI,,791,M,9,1,FALSE,FALSE,0.74,236,0.22,,,,1
AEMH105790,6,0,1985,VIRENDRA BAKSHI,,Maharashtra,GHATKOPAR,GEN,INC,,34692,M,1,1,FALSE,FALSE,44.5,14238,18.26,,,1,1
AEMH105791,6,0,1985,PRAKASH MEHTA,,Maharashtra,GHATKOPAR,GEN,BJP,,20454,M,2,1,FALSE,FALSE,26.24,8872,11.38,,,,1
AEMH105796,6,0,1985,BIPIN SANGAR,,Maharashtra,GHATKOPAR,GEN,LKD,,395,M,7,1,FALSE,FALSE,0.51,249,0.32,,,,1
AEMH105805,6,0,1985,PHALE R. B.,,Maharashtra,BHANDUP,GEN,RPI,,576,M,8,1,FALSE,FALSE,0.57,45,0.04,,,,1
AEMH105806,6,0,1985,NIPANIKAR PRABHAKAR,,Maharashtra,BHANDUP,GEN,LKD,,531,M,9,1,FALSE,FALSE,0.53,230,0.23,,,,1
AEMH105818,6,0,1985,ABRAHAM V. M.,,Maharashtra,MULUND,GEN,LKD,,2175,M,4,1,FALSE,FALSE,2.19,1305,1.32,,,,1
AEMH105826,6,0,1985,GHARPURE P. V.,,Maharashtra,THANE,GEN,BJP,,23120,M,3,1,FALSE,FALSE,22.34,19940,19.27,,,,1
AEMH105829,6,0,1985,RAVABA CHIKANE,,Maharashtra,THANE,GEN,CPI,,1430,M,6,1,FALSE,FALSE,1.38,153,0.15,,,,1
AEMH105837,6,0,1985,GOURI JANARADHAN SHANTA RAM,,Maharashtra,BELAPUR,GEN,INC,,44882,M,1,1,FALSE,FALSE,38.95,2241,1.94,,,1,1
AEMH105839,5,0,1980,BHAGAT GOWARDHAN CHANGU,,Maharashtra,BELAPUR,GEN,BJP,,9424,M,2,2,FALSE,FALSE,19.27,3480,7.11,,,,2
AEMH105839,6,0,1985,BHAGAT GOWARDHAN CHANGO,,Maharashtra,BELAPUR,GEN,BJP,BJP,14879,M,3,2,FALSE,FALSE,12.91,7999,6.94,,,,2
AEMH105841,6,0,1985,INDISE GANGARAM DODHA,,Maharashtra,BELAPUR,GEN,RPK,,2488,M,5,1,FALSE,FALSE,2.16,1271,1.1,,,,1
AEMH105853,6,0,1985,PRADHAN DASWANTRAO SUKHDEV,,Maharashtra,ULHASNAGAR,GEN,RPI,,1654,M,6,1,FALSE,FALSE,1.93,724,0.84,,,,1
AEMH105868,6,0,1985,PADMANABHAN V. GOVINDAN,,Maharashtra,AMBERNATH,GEN,CPI,,3142,M,5,1,FALSE,FALSE,3.3,2088,2.19,,,,1
AEMH105870,3,0,1972,VITHAL BUDHAJI SASANE,,Maharashtra,ULHASNAGAR,GEN,RPI,,2324,M,5,2,FALSE,FALSE,3.71,1799,2.87,,,,2
AEMH105870,6,0,1985,SASANE VITHAL BUDHAJI,,Maharashtra,AMBERNATH,GEN,RPI,RPI,1044,M,7,2,FALSE,FALSE,1.1,700,0.73,,,,2
