pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAR100006,3,0,1984,NIMA TSERING KHRIME,,Arunachal_Pradesh,DIRANG- KALAKTONG,GEN,INC,,3444,M,2,1,FALSE,FALSE,43.04,2811,35.13,,,,1
AEAR23846,3,0,1984,BAKIN PERTIN,,Arunachal_Pradesh,MERIANG-MEBO,GEN,PPA,,4167,M,1,1,FALSE,FALSE,51.42,230,2.84,,,1,1
AEAR80954,3,0,1984,JAPU DERU,,Arunachal_Pradesh,BOMDILA,GEN,PPA,,1894,M,1,1,FALSE,FALSE,36.03,157,2.99,,,1,1
AEAR80998,1,0,1978,LIUM RONYA,,Arunachal_Pradesh,ALONG NORTH,GEN,PPA,,3394,M,1,3,FALSE,FALSE,51.13,1526,22.99,,,2,3
AEAR80998,2,0,1980,LIJUM RONYA,,Arunachal_Pradesh,ALONG NORTH,GEN,PPA,PPA,3157,M,2,3,FALSE,TRUE,48.81,0,0,,,2,3
AEAR80998,3,0,1984,LIJUM RONYA,,Arunachal_Pradesh,ALONG NORTH,GEN,BJP,PPA,2811,M,1,3,TRUE,FALSE,32.21,48,0.55,,,2,3
AEAR81344,1,0,1978,TADIK CHIJE,,Arunachal_Pradesh,MECHUKA,GEN,IND,,1903,M,1,3,FALSE,FALSE,47.79,784,19.69,,,2,3
AEAR81344,2,0,1980,TADIK CHIJE,,Arunachal_Pradesh,MECHUKA,GEN,INC(I),IND,1159,M,2,3,FALSE,TRUE,30.95,312,8.33,,,2,3
AEAR81344,3,0,1984,TADIK CHIJE,,Arunachal_Pradesh,MACHUKA,GEN,IND,INC(I),1492,M,1,3,FALSE,FALSE,35.63,182,4.35,,,2,3
AEAR81345,1,0,1978,PASNAG WANGCHUK SONA,,Arunachal_Pradesh,MECHUKA,GEN,JNP,,960,M,3,3,FALSE,FALSE,24.11,0,0,,,1,3
AEAR81345,2,0,1980,PASANG WANGCHUK SONA,,Arunachal_Pradesh,MECHUKA,GEN,IND,JNP,1541,M,1,3,FALSE,FALSE,41.15,382,10.2,,,1,3
AEAR81345,3,0,1984,P.W. SONA,,Arunachal_Pradesh,MACHUKA,GEN,INC,IND,1310,M,2,3,FALSE,TRUE,31.29,590,14.09,,,1,3
AEAR81389,3,0,1984,C.P. NAMSHOOM,,Arunachal_Pradesh,NAMSAI CHOWKHAM,GEN,IND,,5816,M,1,1,FALSE,FALSE,43.71,182,1.37,,,1,1
AEAR81634,3,0,1984,MAPE DADA,,Arunachal_Pradesh,SEPPA,GEN,IND,,3376,M,2,1,FALSE,FALSE,34.9,1964,20.3,,,,1
AEAR81732,1,0,1978,TADE TACHC,,Arunachal_Pradesh,KOLORIANG,ST,IND,,1048,M,1,3,FALSE,FALSE,68.54,718,46.96,,,3,3
AEAR81732,2,0,1980,TADE TACHO,,Arunachal_Pradesh,ANINI,GEN,IND,IND,1177,M,1,3,FALSE,TRUE,62.41,468,24.81,,,3,3
AEAR81732,3,0,1984,TADE TACHO,,Arunachal_Pradesh,ANINI,GEN,INC,IND,1303,M,1,3,FALSE,TRUE,52.46,530,21.34,,,3,3
AEAR81741,1,0,1978,SOBENG TAYENG,,Arunachal_Pradesh,TEZU HAYULIANG,GEN,JNP,,4761,M,1,2,FALSE,FALSE,71.98,2908,43.97,,,1,2
AEAR81741,3,0,1984,SOBENG TAYANG,,Arunachal_Pradesh,TEZU HAYULIANG,GEN,IND,JNP,4343,M,2,2,FALSE,FALSE,43.63,4028,40.46,,,1,2
AEAR81785,1,0,1978,KARMA WANGCHU,,Arunachal_Pradesh,TAWANG-I,GEN,IND,,2313,M,1,3,FALSE,FALSE,65.17,1077,30.35,,,3,3
AEAR81785,2,0,1980,KARMA WANGOHU,,Arunachal_Pradesh,TAWANG I,GEN,PPA,IND,2555,M,1,3,FALSE,TRUE,69.64,1441,39.28,,,3,3
AEAR81785,3,0,1984,KARMA WANGCHU,,Arunachal_Pradesh,TAWANG I,GEN,INC,PPA,2992,M,1,3,TRUE,TRUE,65.16,1392,30.31,,,3,3
AEAR81801,1,0,1978,KAMENG DOLO,,Arunachal_Pradesh,CHAYANGTAJO,GEN,JNP,,3396,M,1,3,FALSE,FALSE,57.51,887,15.02,,,3,3
AEAR81801,2,0,1980,KAMENG DOLO,,Arunachal_Pradesh,CHAYANG TAJO,GEN,IND,JNP,1894,M,1,3,FALSE,TRUE,34.89,35,0.64,,,3,3
AEAR81801,3,0,1984,KAMENG DOLO,,Arunachal_Pradesh,CHAYANGTAJO,GEN,INC,IND,4744,M,1,3,FALSE,TRUE,54.05,711,8.1,,,3,3
AEAR81813,2,0,1980,TECHI TAKAR,,Arunachal_Pradesh,DOIMUKH SAGALEE,GEN,INC(I),,4225,M,1,2,FALSE,FALSE,51.97,321,3.95,,,2,2
AEAR81813,3,0,1984,TECHI TAKAR,,Arunachal_Pradesh,DOIMUKH-SAGALEE,GEN,INC,INC(I),5203,M,1,2,FALSE,TRUE,39.97,2128,16.35,,,2,2
AEAR81827,1,0,1978,GRATI TAKKA,,Arunachal_Pradesh,ZIRO,GEN,IND,,2014,M,2,3,FALSE,FALSE,19.92,355,3.51,,,1,3
AEAR81827,2,0,1980,GYATI TAKKA,,Arunachal_Pradesh,ZIRO,GEN,PPA,IND,2179,M,2,3,FALSE,FALSE,26.29,616,7.43,,,1,3
AEAR81827,3,0,1984,GYATI TAKA,,Arunachal_Pradesh,ZIRO,GEN,INC,PPA,2938,M,1,3,TRUE,FALSE,25.41,129,1.12,,,1,3
AEAR81849,1,0,1978,BAOTAMO,,Arunachal_Pradesh,RAGA-TALI,GEN,PPA,,2896,M,2,3,FALSE,FALSE,45,0,0,,,2,3
AEAR81849,2,0,1980,BOA TAME,,Arunachal_Pradesh,RAGA TALI,GEN,PPA,PPA,2983,M,1,3,FALSE,FALSE,61.57,1968,40.62,,,2,3
AEAR81849,3,0,1984,BOA TAMO,,Arunachal_Pradesh,RIGA-TALI,GEN,INC,PPA,1762,M,1,3,TRUE,TRUE,25.54,76,1.1,,,2,3
AEAR81852,3,0,1984,LARBIN NACHI,,Arunachal_Pradesh,DAPORIJO,ST,BJP,,4629,M,2,1,FALSE,FALSE,44.75,3565,34.46,,,,1
AEAR81859,1,0,1978,TADAK BASAR,,Arunachal_Pradesh,BASAR,GEN,JNP,,2747,M,2,3,FALSE,FALSE,40.07,0,0,,,1,3
AEAR81859,2,0,1980,TODAK BASAR,,Arunachal_Pradesh,BASAR,GEN,INC(I),JNP,3511,M,2,3,TRUE,FALSE,46.2,3335,43.88,,,1,3
AEAR81859,3,0,1984,TODAK BASAR,,Arunachal_Pradesh,BASAR,GEN,INC,INC(I),5701,M,1,3,FALSE,FALSE,63.97,2490,27.94,,,1,3
AEAR81882,3,0,1984,TARUNG PABIN,,Arunachal_Pradesh,PASIGHAT,GEN,INC,,4948,M,2,1,FALSE,FALSE,48.61,0,0,,,,1
AEAR81938,2,0,1980,WANGLAT,,Arunachal_Pradesh,KHONSA NORTH,GEN,PPA,,2685,M,1,2,FALSE,FALSE,47.75,689,12.25,,,1,2
AEAR81938,3,0,1984,L. WANGLAT,,Arunachal_Pradesh,KHONSA NORTH,GEN,IND,PPA,1786,M,2,2,FALSE,TRUE,26.26,306,4.5,,,1,2
AEAR81943,3,0,1984,RAWANG WANGHAM,,Arunachal_Pradesh,NIAUSA KANUBARI,GEN,IND,,646,M,2,1,FALSE,FALSE,11.24,94,1.64,,,,1
AEAR81956,3,0,1984,TASHI NORBU,,Arunachal_Pradesh,TAWANG I,GEN,PPA,,1600,M,2,1,FALSE,FALSE,34.84,0,0,,,,1
AEAR81958,3,0,1984,TSERING CHUKI,,Arunachal_Pradesh,TAWANG II,GEN,PPA,,1739,F,2,1,FALSE,FALSE,35.65,0,0,,,,1
AEAR81959,3,0,1984,R.K. KHRIMEY,,Arunachal_Pradesh,DIRANG- KALAKTONG,GEN,IND,,3925,M,1,1,FALSE,FALSE,49.05,481,6.01,,,1,1
AEAR81968,1,0,1978,NYARI WELLI,,Arunachal_Pradesh,SEPPA,GEN,PPA,,1649,F,2,3,FALSE,FALSE,25.44,1338,20.64,,,2,3
AEAR81968,2,0,1980,NYARI WELLI,,Arunachal_Pradesh,SEPPA,GEN,PPA,PPA,2817,F,1,3,FALSE,FALSE,43.28,478,7.34,,,2,3
AEAR81968,3,0,1984,NYARI WELLI,,Arunachal_Pradesh,SEPPA,GEN,INC,PPA,3419,F,1,3,TRUE,TRUE,35.35,43,0.44,,,2,3
AEAR81970,3,0,1984,SISHU NATUNG,,Arunachal_Pradesh,SEPPA,GEN,PPA,,1412,M,3,1,FALSE,FALSE,14.6,210,2.17,,,,1
